昵称,性别,时间,点赅,评论,IP属地,"二级评论条数,条数相同说明在同一个人下面",等级,uid,rpid
账号已注销,保密,2024-12-20 12:47:53 北京时间,0,我看你是想吃紫蛋了,江苏,7,0,3546811813857425,250214752816
_conspiracy,保密,2024-12-08 02:06:57 北京时间,54,你是懂dnf的,广东,7,6,107031759,248706524113
洛波特,男,2024-12-08 03:58:28 北京时间,39,"你好，我是来万代应聘游戏策划的！,         你有什么牛逼的简历吗？,  我在5年内搞死了DNF，但赚了几十倍的利润！,        太好了，我们万代就需要你这样的人才！",浙江,7,6,18678703,249132074240
不古不古i,男,2024-12-08 05:20:54 北京时间,2,回复 @_conspiracy : 他也没说dnf啊  我是怎么清晰的找到你的回复定位的……监控拆一拆,天津,7,5,392963603,249139116624
哔君哔君哔,保密,2024-12-08 06:32:19 北京时间,2,就是有些看不惯别人还在玩，并且还充钱并且还名望高，逼站评论区一直有在骂还在玩的那些,云南,7,6,8931298,248726882177
神奇的雪哥,保密,2024-12-08 06:42:36 北京时间,1,回复 @_conspiracy :是个游戏都这逼样。,吉林,7,5,384756683,248727603601
小何头又大了,男,2024-12-13 01:28:20 北京时间,0,回复 @宫田爱萌 :那前人栽树干嘛？,安徽,7,5,504734617,249542887808
账号已注销,保密,2024-12-20 12:47:53 北京时间,0,我看你是想吃紫蛋了,江苏,7,0,3546811813857425,250214752816
老D不着急,男,2024-12-08 16:18:20 北京时间,40,回复 @bili_70565601593 :真这么搞就不是体育馆开吉普了，得去机关开了[笑哭],云南,11,6,8818429,249194044112
圣血天使死亡连部队,保密,2024-12-08 17:50:59 北京时间,19,回复 @bili_70565601593 :你以为没有吗，隐性单身税就是直接给结婚人口发钱,湖北,11,6,181760329,249199233568
周一木之,男,2024-12-08 18:34:40 北京时间,15,回复 @bili_70565601593 :已经在收了好吧，就个人退税的家里有小孩老人的都能退税，现在很多只是很隐蔽的在收。后面说不定可以退出买奶粉领消费券呢,江西,11,6,326578948,249200476704
米楠达,保密,2024-12-08 19:55:59 北京时间,7,回复 @bili_70565601593 :有没有可能他们的前辈已经干过更疯狂的了,河南,11,5,406416041,249202287408
光州格斗大赛跑男,保密,2024-12-09 02:27:32 北京时间,1,回复 @圣血天使死亡连部队 : 这下听懂了,广西,11,4,3546373609752799,248791837169
光州格斗大赛跑男,保密,2024-12-09 02:27:41 北京时间,1,回复 @周一木之 : 悟了,广西,11,4,3546373609752799,248792061009
专业破防爱拉黑的招娣,保密,2024-12-09 07:27:47 北京时间,2,更不急，打不了多来几次盐哒,山东,11,6,399671707,249232751104
私の银の庭,男,2024-12-09 11:45:12 北京时间,1,回复 @bili_70565601593 :他们这样没有那么长远的,四川,11,6,623106,249252357904
我们大家都是乐子人,保密,2024-12-10 21:16:02 北京时间,0,确实[UP主共创剧场表情包_痴呆],韩国,11,6,119889096,248940825921
我们大家都是乐子人,保密,2024-12-10 21:20:13 北京时间,0,回复 @bili_70565601593 :【罪犯还是英雄？美网民狂挺疑似医保案被捕枪手 高管人人自危-哔哩哔哩】 https://b23.tv/X3sMY8g 看看这个,韩国,11,6,119889096,248940882641
bilibilibi,保密,2025-01-01 04:38:23 北京时间,0,回复 @我们大家都是乐子人 :评论区高赞评论：这么看，发明CEO管理制度的人真是天才，幕后股东大佬丝毫不慌,河南,11,6,500760,250690621921
老D不着急,男,2024-12-08 16:18:20 北京时间,40,回复 @bili_70565601593 :真这么搞就不是体育馆开吉普了，得去机关开了[笑哭],云南,11,6,8818429,249194044112
圣血天使死亡连部队,保密,2024-12-08 17:50:59 北京时间,19,回复 @bili_70565601593 :你以为没有吗，隐性单身税就是直接给结婚人口发钱,湖北,11,6,181760329,249199233568
周一木之,男,2024-12-08 18:34:40 北京时间,15,回复 @bili_70565601593 :已经在收了好吧，就个人退税的家里有小孩老人的都能退税，现在很多只是很隐蔽的在收。后面说不定可以退出买奶粉领消费券呢,江西,11,6,326578948,249200476704
米楠达,保密,2024-12-08 19:55:59 北京时间,7,回复 @bili_70565601593 :有没有可能他们的前辈已经干过更疯狂的了,河南,11,5,406416041,249202287408
光州格斗大赛跑男,保密,2024-12-09 02:27:32 北京时间,1,回复 @圣血天使死亡连部队 : 这下听懂了,广西,11,4,3546373609752799,248791837169
光州格斗大赛跑男,保密,2024-12-09 02:27:41 北京时间,1,回复 @周一木之 : 悟了,广西,11,4,3546373609752799,248792061009
专业破防爱拉黑的招娣,保密,2024-12-09 07:27:47 北京时间,2,更不急，打不了多来几次盐哒,山东,11,6,399671707,249232751104
私の银の庭,男,2024-12-09 11:45:12 北京时间,1,回复 @bili_70565601593 :他们这样没有那么长远的,四川,11,6,623106,249252357904
我们大家都是乐子人,保密,2024-12-10 21:16:02 北京时间,0,确实[UP主共创剧场表情包_痴呆],韩国,11,6,119889096,248940825921
我们大家都是乐子人,保密,2024-12-10 21:20:13 北京时间,0,回复 @bili_70565601593 :【罪犯还是英雄？美网民狂挺疑似医保案被捕枪手 高管人人自危-哔哩哔哩】 https://b23.tv/X3sMY8g 看看这个,韩国,11,6,119889096,248940882641
bilibilibi,保密,2025-01-01 04:38:23 北京时间,0,回复 @我们大家都是乐子人 :评论区高赞评论：这么看，发明CEO管理制度的人真是天才，幕后股东大佬丝毫不慌,河南,11,6,500760,250690621921
伍哥分享-,保密,2024-12-08 02:04:59 北京时间,1,。。。,广东,6,4,3546598432836460,248706439425
张口就来编,保密,2024-12-08 02:11:42 北京时间,7,说的很对，五十年后关我屁事,广东,6,5,518634322,249124162000
你口也香,男,2024-12-08 16:34:45 北京时间,3,相信后来人的智慧，然而后来人越来越少。,广东,6,6,22327082,248775198769
圭寸言吾,保密,2024-12-10 01:23:59 北京时间,2,有没有可能可以用到2081甚至更长的时间,河北,6,5,485980939,249291108416
Sky大果果,保密,2024-12-10 03:15:44 北京时间,2,回复 @你口也香 :2076 到时候都搞出可控核聚变、人造人了，真的不在乎人口了,广西,6,3,3546782158031742,249297841344
梁yz_,男,2024-12-12 04:45:38 北京时间,0,回复 @Sky大果果 :社会存在的意义是因为人，人都没有一切都没有价值，,广东,6,5,1502575631,249472214640
伍哥分享-,保密,2024-12-08 02:04:59 北京时间,1,。。。,广东,6,4,3546598432836460,248706439425
张口就来编,保密,2024-12-08 02:11:42 北京时间,7,说的很对，五十年后关我屁事,广东,6,5,518634322,249124162000
你口也香,男,2024-12-08 16:34:45 北京时间,3,相信后来人的智慧，然而后来人越来越少。,广东,6,6,22327082,248775198769
圭寸言吾,保密,2024-12-10 01:23:59 北京时间,2,有没有可能可以用到2081甚至更长的时间,河北,6,5,485980939,249291108416
Sky大果果,保密,2024-12-10 03:15:44 北京时间,2,回复 @你口也香 :2076 到时候都搞出可控核聚变、人造人了，真的不在乎人口了,广西,6,3,3546782158031742,249297841344
梁yz_,男,2024-12-12 04:45:38 北京时间,0,回复 @Sky大果果 :社会存在的意义是因为人，人都没有一切都没有价值，,广东,6,5,1502575631,249472214640
专属Melo,男,2024-12-08 01:32:18 北京时间,120,要不说胖东来稍微有点风吹草动就被大肆批判呢[doge],湖南,50,6,11693549,249121664624
安全系数过低,保密,2024-12-08 01:55:50 北京时间,1,回覆 @专属Melo :特别招黑,上海,50,5,402866300,249123036288
超星系团复合体,男,2024-12-08 01:58:28 北京时间,10,老美世界第一不是一堆人住平民窟的,上海,50,6,108135278,248706043569
那咋办啊啊啊啊啊,男,2024-12-08 02:00:23 北京时间,34,回复 @超星系团复合体 :微软苹果的员工可是过的很好的,陕西,50,6,17265852,248706184865
中土世界0,保密,2024-12-08 02:03:45 北京时间,3,说的不错,天津,50,6,250669381,248706308257
全真模拟三,保密,2024-12-08 02:04:52 北京时间,29,回复 @超星系团复合体 :搞极端没意思  非洲也有日子过得非常爽呢  按照普通人看,浙江,50,5,280610024,249123635088
再bb你6级号不保,保密,2024-12-08 02:11:03 北京时间,17,回复 @超星系团复合体 :老美住贫民窟的绝大可能是又懒又吸毒的,四川,50,6,64667444,249124043152
astray_neo,男,2024-12-08 02:11:05 北京时间,1,回复 @那咋办啊啊啊啊啊 :你这话也能套在华为身上。而且你不知道的是微软苹果的大量业务都是外包的，这些外包企业的员工是否应该算成苹果微软员工呢？可,安徽,50,6,358713136,249124123104
那咋办啊啊啊啊啊,男,2024-12-08 02:14:43 北京时间,28,是能套在华为身上啊，虽然加班多点，但宁德身为电池领域的大哥，是不是也能让他的员工过好点的呢，福利高点呢,陕西,50,6,17265852,248707030033
zhentai菌,保密,2024-12-08 02:32:58 北京时间,99,回复 @虚无XIA :你能免费去制造业上几个月班吗？,湖北,50,6,2093659,248708077857
美琴的老婆,男,2024-12-08 02:50:35 北京时间,12,回复 @超星系团复合体 :我嘞个沪✌🏻，你们那没有穷人吗,山东,50,6,353869964,248709320321
黄映辉,保密,2024-12-08 03:03:31 北京时间,5,你这个四维太不对的。如果宁德时代在德国。收入肯定翻了好几番，但是他在中国不可能跳跃成这样。这种高科技企业其实已经带动溢价了劳动力了。只有很多很多高科技企业才能带动14亿人。,江苏,50,4,23716024,248710364097
美琴的老婆,男,2024-12-08 03:05:28 北京时间,14,回复 @黄映辉 :甚至不如开超市的胖东来的员工福利好,山东,50,6,353869964,248710504097
依智不识者,保密,2024-12-08 03:08:08 北京时间,0,回复 @依智不识者 :[doge_金箍],山东,50,4,412158408,249128070256
依智不识者,保密,2024-12-08 03:09:36 北京时间,11,回复 @超星系团复合体 :老美贫民窟里都是世界一线大厂的员工？,山东,50,4,412158408,249128188096
专属Melo,男,2024-12-08 03:11:42 北京时间,65,回复 @虚无XIA :胖东来做服务都能让员工有带休假 有假期 有高薪 不用996，制造业老板给你什么了? 还没毕业的小屁孩就别在这瞎掺和了 赶紧玩王者去吧,湖南,50,6,11693549,249128369568
虚无XIA,保密,2024-12-08 03:17:02 北京时间,1,回复 @专属Melo :不要老是想得到些什么，多思考国家发展需要什么。,福建,50,2,3546674890803699,248711192673
你是_我是_,保密,2024-12-08 03:34:10 北京时间,22,回复 @专属Melo :他是故意搁这串呢,陕西,50,6,3158094,248712607905
nvkgcl,保密,2024-12-08 03:51:14 北京时间,18,世界第一啦，加世界第一长时间的班[偷笑]你就说是不是遥遥领先,广东,50,6,268346886,248714021681
黄老小哥,保密,2024-12-08 04:02:52 北京时间,1,好像是滴，明年很多公司相互吞并，失去更多岗位，没钱活不下去的更多。,广东,50,5,382548444,249132521856
bili_471585802,保密,2024-12-08 04:33:14 北京时间,14,回复 @虚无XIA :串完了属于是,广东,50,5,471585802,249135229248
bili_471585802,保密,2024-12-08 04:33:47 北京时间,14,回复 @虚无XIA :别人真小粉红一句话，是你这辈子都达不到的高度,广东,50,5,471585802,249135177600
中国弃游玩家,保密,2024-12-08 04:58:24 北京时间,3,回复 @虚无XIA :无产阶级人士，无私奉献，不求回报,江西,50,5,697792077,248719614993
维克多张_Official,男,2024-12-08 05:14:49 北京时间,10,回复 @虚无XIA :兔爷，您又来下大棋啦[抠鼻],天津,50,6,238165050,248720892833
RichardTysen,保密,2024-12-08 05:20:12 北京时间,0,回复 @astray_neo : 提起外包是不是国内更加。。。。,湖南,50,6,279585731,249139283440
超星系团复合体,男,2024-12-08 05:39:16 北京时间,0,回复 @那咋办啊啊啊啊啊 :中国有钱人一样过的好啊,上海,50,6,108135278,248722888801
超星系团复合体,男,2024-12-08 05:40:08 北京时间,0,回复 @依智不识者 :不管那个国家都是有有钱人和穷人,上海,50,6,108135278,248722916449
UniverseGundam,男,2024-12-08 05:44:24 北京时间,1,回复 @虚无XIA : 一室不扫，何以扫天下？,河南,50,6,2014925,249141185680
恋鲤koi,男,2024-12-08 05:55:56 北京时间,1,回复 @虚无XIA :别整宏大叙事了行吗,安徽,50,6,13675200,249142064592
两点水东流,男,2024-12-08 05:55:59 北京时间,0,宁德时代工资到底多少？看一堆人批判宁德时代也没看到具体工资和工作时间,辽宁,50,6,10952228,249142112400
盾刃丶,男,2024-12-08 06:02:45 北京时间,1,"回复 @两点水东流 :4800一个月，9106工作制,人家算下来时薪大概是在13块",福建,50,6,20952783,248724542465
难绷今宵丶,保密,2024-12-08 06:04:08 北京时间,0,回复 @虚无XIA :头像符合人设,广东,50,5,9586292,248724637409
我就健身不说话,男,2024-12-08 06:08:51 北京时间,1,回复 @虚无XIA :笑死，就你无私你有科技含量[抠鼻],山东,50,6,361173874,248725063553
呵呵12345678912345,保密,2024-12-08 06:18:54 北京时间,0,没事失业率继续走高，你不干有的是人干，我建议你赶紧润。宁德时代完全可以把底层员工裁掉，外包到越南印度，只保留中高层研发人员，这样就能做到给他的员工远超社会的福利与收入,北京,50,6,32282744,249143867888
会一点法律,男,2024-12-08 06:30:46 北京时间,0,回复 @虚无XIA :串子死一边去,河北,50,6,382492367,249144824912
初号機の暴走,保密,2024-12-08 06:34:17 北京时间,1,笑死 高科技是好的，给员工多发工资是坏的。不管你背后什么理论道理。拿工资的人永远只在乎有多少，制定规则的人让下面的一切生活品质只能由工资决定，就不要怪他们只看钱。,四川,50,6,1410017,249145060320
老Dayday,保密,2024-12-08 06:54:13 北京时间,0,回复 @那咋办啊啊啊啊啊 :那你应该拿富士康的来比,北京,50,5,545631238,249146647568
普通朋友Kyle,保密,2024-12-08 07:40:55 北京时间,3,回复 @虚无XIA :国家需要的是无私奉献，那你在干什么，领着高昂的薪水，严重影响企业经济发展,广西,50,4,2073317026,249150057984
yycyay,保密,2024-12-08 09:05:35 北京时间,4,回复 @astray_neo :华为好意思和苹果微软比待遇？996加班不知道是哪些个大厂搞出来的，不会没有华为吧,浙江,50,5,298541481,248737885553
astray_neo,男,2024-12-08 09:12:07 北京时间,2,"回复 @yycyay :我不知道你说的对比是什么意思。但是要结合当地国家的经济发展水平和平均工资水平进行对比才是合理的，毕竟我们是发展中国家。微软的工资在美国是顶级的，华为的工资在中国也是顶级的。为什么就不能比呢？,,至于说996的问题，你似乎在暗示这是华为发明的？请问你有证据吗？另外，你可意识到了发展中国家的劳动力加班时间过长不只是中国的问题？你有考虑过为什么吗？你知道经济殖民吗？",安徽,50,6,358713136,249157131248
南喵喵喵喵猫,保密,2024-12-08 10:00:24 北京时间,2,"回复 @虚无XIA :胖东来和制造业又不冲突，本身就是终端销售。,胖东来秒杀一众同行，优秀的销售企业是利好其他制造产业 共同进步的",河南,50,6,3850409,249161231968
霧紗泉和,男,2024-12-08 10:19:02 北京时间,1,回复 @虚无XIA :逆天,江苏,50,6,11273280,248744018513
你口也香,男,2024-12-08 16:32:46 北京时间,1,回复 @虚无XIA :需要你一家24小时轮流无休敲螺丝。在这装什么呢？,广东,50,6,22327082,248775145729
Jo叔呀,女,2024-12-08 19:09:25 北京时间,2,回复 @虚无XIA :你上班了吗？,辽宁,50,6,5187733,249201494080
米楠达,保密,2024-12-08 19:58:09 北京时间,1,回复 @虚无XIA :哥们，刑期还有多久啊？,河南,50,5,406416041,249202380352
这里谁叫愛田奈子,保密,2024-12-09 00:07:34 北京时间,1,回复 @虚无XIA :发配去流水线打12小时螺丝就老实了,江西,50,6,275218454,248785954865
鸣上悠丶,保密,2024-12-09 03:13:13 北京时间,0,回复 @那咋办啊啊啊啊啊 :这个得具体问题具体分析，比如这种互联网企业你可能敲些代码就能赚得盆满钵满，但很明显制造业肯定不能动动手指就能赚得盆满钵满，如果你要拿微软苹果比也应该去和腾讯，阿里，字节，华为这些比，不过这些公司的待遇和工资在国内也是顶级的，只是说没有苹果微软这些那么轻松和钱多而已,广西,50,6,22431686,248794656529
星海之下233,男,2024-12-09 03:35:58 北京时间,1,回复 @虚无XIA :转人工,福建,50,6,355572104,249216912112
高宮の旦那さん,保密,2024-12-09 12:55:09 北京时间,0,回复 @那咋办啊啊啊啊啊 :华为吸血够多了，要不要了解一下什么是统信OS,广西,50,6,3026120,249258178880
爱亮亮也爱酿酿,保密,2024-12-10 05:19:44 北京时间,1,回复 @虚无XIA :你都说了是给国家做贡献，国企做贡献没什么私企做贡献让老板一天换一个劳斯莱斯吗,天津,50,6,32502268,248882711297
专属Melo,男,2024-12-08 01:32:18 北京时间,120,要不说胖东来稍微有点风吹草动就被大肆批判呢[doge],湖南,50,6,11693549,249121664624
安全系数过低,保密,2024-12-08 01:55:50 北京时间,1,回覆 @专属Melo :特别招黑,上海,50,5,402866300,249123036288
超星系团复合体,男,2024-12-08 01:58:28 北京时间,10,老美世界第一不是一堆人住平民窟的,上海,50,6,108135278,248706043569
那咋办啊啊啊啊啊,男,2024-12-08 02:00:23 北京时间,34,回复 @超星系团复合体 :微软苹果的员工可是过的很好的,陕西,50,6,17265852,248706184865
中土世界0,保密,2024-12-08 02:03:45 北京时间,3,说的不错,天津,50,6,250669381,248706308257
全真模拟三,保密,2024-12-08 02:04:52 北京时间,29,回复 @超星系团复合体 :搞极端没意思  非洲也有日子过得非常爽呢  按照普通人看,浙江,50,5,280610024,249123635088
再bb你6级号不保,保密,2024-12-08 02:11:03 北京时间,17,回复 @超星系团复合体 :老美住贫民窟的绝大可能是又懒又吸毒的,四川,50,6,64667444,249124043152
astray_neo,男,2024-12-08 02:11:05 北京时间,1,回复 @那咋办啊啊啊啊啊 :你这话也能套在华为身上。而且你不知道的是微软苹果的大量业务都是外包的，这些外包企业的员工是否应该算成苹果微软员工呢？可,安徽,50,6,358713136,249124123104
那咋办啊啊啊啊啊,男,2024-12-08 02:14:43 北京时间,28,是能套在华为身上啊，虽然加班多点，但宁德身为电池领域的大哥，是不是也能让他的员工过好点的呢，福利高点呢,陕西,50,6,17265852,248707030033
zhentai菌,保密,2024-12-08 02:32:58 北京时间,99,回复 @虚无XIA :你能免费去制造业上几个月班吗？,湖北,50,6,2093659,248708077857
美琴的老婆,男,2024-12-08 02:50:35 北京时间,12,回复 @超星系团复合体 :我嘞个沪✌🏻，你们那没有穷人吗,山东,50,6,353869964,248709320321
黄映辉,保密,2024-12-08 03:03:31 北京时间,5,你这个四维太不对的。如果宁德时代在德国。收入肯定翻了好几番，但是他在中国不可能跳跃成这样。这种高科技企业其实已经带动溢价了劳动力了。只有很多很多高科技企业才能带动14亿人。,江苏,50,4,23716024,248710364097
美琴的老婆,男,2024-12-08 03:05:28 北京时间,14,回复 @黄映辉 :甚至不如开超市的胖东来的员工福利好,山东,50,6,353869964,248710504097
依智不识者,保密,2024-12-08 03:08:08 北京时间,0,回复 @依智不识者 :[doge_金箍],山东,50,4,412158408,249128070256
依智不识者,保密,2024-12-08 03:09:36 北京时间,11,回复 @超星系团复合体 :老美贫民窟里都是世界一线大厂的员工？,山东,50,4,412158408,249128188096
专属Melo,男,2024-12-08 03:11:42 北京时间,65,回复 @虚无XIA :胖东来做服务都能让员工有带休假 有假期 有高薪 不用996，制造业老板给你什么了? 还没毕业的小屁孩就别在这瞎掺和了 赶紧玩王者去吧,湖南,50,6,11693549,249128369568
虚无XIA,保密,2024-12-08 03:17:02 北京时间,1,回复 @专属Melo :不要老是想得到些什么，多思考国家发展需要什么。,福建,50,2,3546674890803699,248711192673
你是_我是_,保密,2024-12-08 03:34:10 北京时间,22,回复 @专属Melo :他是故意搁这串呢,陕西,50,6,3158094,248712607905
nvkgcl,保密,2024-12-08 03:51:14 北京时间,18,世界第一啦，加世界第一长时间的班[偷笑]你就说是不是遥遥领先,广东,50,6,268346886,248714021681
黄老小哥,保密,2024-12-08 04:02:52 北京时间,1,好像是滴，明年很多公司相互吞并，失去更多岗位，没钱活不下去的更多。,广东,50,5,382548444,249132521856
bili_471585802,保密,2024-12-08 04:33:14 北京时间,14,回复 @虚无XIA :串完了属于是,广东,50,5,471585802,249135229248
bili_471585802,保密,2024-12-08 04:33:47 北京时间,14,回复 @虚无XIA :别人真小粉红一句话，是你这辈子都达不到的高度,广东,50,5,471585802,249135177600
中国弃游玩家,保密,2024-12-08 04:58:24 北京时间,3,回复 @虚无XIA :无产阶级人士，无私奉献，不求回报,江西,50,5,697792077,248719614993
维克多张_Official,男,2024-12-08 05:14:49 北京时间,10,回复 @虚无XIA :兔爷，您又来下大棋啦[抠鼻],天津,50,6,238165050,248720892833
RichardTysen,保密,2024-12-08 05:20:12 北京时间,0,回复 @astray_neo : 提起外包是不是国内更加。。。。,湖南,50,6,279585731,249139283440
超星系团复合体,男,2024-12-08 05:39:16 北京时间,0,回复 @那咋办啊啊啊啊啊 :中国有钱人一样过的好啊,上海,50,6,108135278,248722888801
超星系团复合体,男,2024-12-08 05:40:08 北京时间,0,回复 @依智不识者 :不管那个国家都是有有钱人和穷人,上海,50,6,108135278,248722916449
UniverseGundam,男,2024-12-08 05:44:24 北京时间,1,回复 @虚无XIA : 一室不扫，何以扫天下？,河南,50,6,2014925,249141185680
恋鲤koi,男,2024-12-08 05:55:56 北京时间,1,回复 @虚无XIA :别整宏大叙事了行吗,安徽,50,6,13675200,249142064592
两点水东流,男,2024-12-08 05:55:59 北京时间,0,宁德时代工资到底多少？看一堆人批判宁德时代也没看到具体工资和工作时间,辽宁,50,6,10952228,249142112400
盾刃丶,男,2024-12-08 06:02:45 北京时间,1,"回复 @两点水东流 :4800一个月，9106工作制,人家算下来时薪大概是在13块",福建,50,6,20952783,248724542465
难绷今宵丶,保密,2024-12-08 06:04:08 北京时间,0,回复 @虚无XIA :头像符合人设,广东,50,5,9586292,248724637409
我就健身不说话,男,2024-12-08 06:08:51 北京时间,1,回复 @虚无XIA :笑死，就你无私你有科技含量[抠鼻],山东,50,6,361173874,248725063553
呵呵12345678912345,保密,2024-12-08 06:18:54 北京时间,0,没事失业率继续走高，你不干有的是人干，我建议你赶紧润。宁德时代完全可以把底层员工裁掉，外包到越南印度，只保留中高层研发人员，这样就能做到给他的员工远超社会的福利与收入,北京,50,6,32282744,249143867888
会一点法律,男,2024-12-08 06:30:46 北京时间,0,回复 @虚无XIA :串子死一边去,河北,50,6,382492367,249144824912
初号機の暴走,保密,2024-12-08 06:34:17 北京时间,1,笑死 高科技是好的，给员工多发工资是坏的。不管你背后什么理论道理。拿工资的人永远只在乎有多少，制定规则的人让下面的一切生活品质只能由工资决定，就不要怪他们只看钱。,四川,50,6,1410017,249145060320
老Dayday,保密,2024-12-08 06:54:13 北京时间,0,回复 @那咋办啊啊啊啊啊 :那你应该拿富士康的来比,北京,50,5,545631238,249146647568
普通朋友Kyle,保密,2024-12-08 07:40:55 北京时间,3,回复 @虚无XIA :国家需要的是无私奉献，那你在干什么，领着高昂的薪水，严重影响企业经济发展,广西,50,4,2073317026,249150057984
yycyay,保密,2024-12-08 09:05:35 北京时间,4,回复 @astray_neo :华为好意思和苹果微软比待遇？996加班不知道是哪些个大厂搞出来的，不会没有华为吧,浙江,50,5,298541481,248737885553
astray_neo,男,2024-12-08 09:12:07 北京时间,2,"回复 @yycyay :我不知道你说的对比是什么意思。但是要结合当地国家的经济发展水平和平均工资水平进行对比才是合理的，毕竟我们是发展中国家。微软的工资在美国是顶级的，华为的工资在中国也是顶级的。为什么就不能比呢？,,至于说996的问题，你似乎在暗示这是华为发明的？请问你有证据吗？另外，你可意识到了发展中国家的劳动力加班时间过长不只是中国的问题？你有考虑过为什么吗？你知道经济殖民吗？",安徽,50,6,358713136,249157131248
南喵喵喵喵猫,保密,2024-12-08 10:00:24 北京时间,2,"回复 @虚无XIA :胖东来和制造业又不冲突，本身就是终端销售。,胖东来秒杀一众同行，优秀的销售企业是利好其他制造产业 共同进步的",河南,50,6,3850409,249161231968
霧紗泉和,男,2024-12-08 10:19:02 北京时间,1,回复 @虚无XIA :逆天,江苏,50,6,11273280,248744018513
你口也香,男,2024-12-08 16:32:46 北京时间,1,回复 @虚无XIA :需要你一家24小时轮流无休敲螺丝。在这装什么呢？,广东,50,6,22327082,248775145729
Jo叔呀,女,2024-12-08 19:09:25 北京时间,2,回复 @虚无XIA :你上班了吗？,辽宁,50,6,5187733,249201494080
米楠达,保密,2024-12-08 19:58:09 北京时间,1,回复 @虚无XIA :哥们，刑期还有多久啊？,河南,50,5,406416041,249202380352
这里谁叫愛田奈子,保密,2024-12-09 00:07:34 北京时间,1,回复 @虚无XIA :发配去流水线打12小时螺丝就老实了,江西,50,6,275218454,248785954865
鸣上悠丶,保密,2024-12-09 03:13:13 北京时间,0,回复 @那咋办啊啊啊啊啊 :这个得具体问题具体分析，比如这种互联网企业你可能敲些代码就能赚得盆满钵满，但很明显制造业肯定不能动动手指就能赚得盆满钵满，如果你要拿微软苹果比也应该去和腾讯，阿里，字节，华为这些比，不过这些公司的待遇和工资在国内也是顶级的，只是说没有苹果微软这些那么轻松和钱多而已,广西,50,6,22431686,248794656529
星海之下233,男,2024-12-09 03:35:58 北京时间,1,回复 @虚无XIA :转人工,福建,50,6,355572104,249216912112
高宮の旦那さん,保密,2024-12-09 12:55:09 北京时间,0,回复 @那咋办啊啊啊啊啊 :华为吸血够多了，要不要了解一下什么是统信OS,广西,50,6,3026120,249258178880
爱亮亮也爱酿酿,保密,2024-12-10 05:19:44 北京时间,1,回复 @虚无XIA :你都说了是给国家做贡献，国企做贡献没什么私企做贡献让老板一天换一个劳斯莱斯吗,天津,50,6,32502268,248882711297
cgheidch,保密,2024-12-08 09:10:19 北京时间,22,明显没经过社会毒打,上海,21,5,15547196,248738323889
排骨年糕加蛋饼,女,2024-12-08 10:01:31 北京时间,80,研究生怎么了，不产出一点GDP。LZ已经比室友清醒一点了，等进入社会，就会发现一个完全不一样的世界,上海,21,6,123786017,249161270336
