情绪标签,时间,性别,评论
负面,2024-12-08 02:50:35 北京时间,男,回复 @超星系团复合体 :我嘞个沪✌🏻，你们那没有穷人吗
中立,2024-12-08 03:03:31 北京时间,保密,你这个四维太不对的。如果宁德时代在德国。收入肯定翻了好几番，但是他在中国不可能跳跃成这样。这种高科技企业其实已经带动溢价了劳动力了。只有很多很多高科技企业才能带动14亿人。
负面,2024-12-08 03:05:28 北京时间,男,回复 @黄映辉 :甚至不如开超市的胖东来的员工福利好
负面,2024-12-08 03:08:08 北京时间,保密,回复 @依智不识者 :[doge_金箍]
负面,2024-12-08 03:09:36 北京时间,保密,回复 @超星系团复合体 :老美贫民窟里都是世界一线大厂的员工？
负面,2024-12-08 03:11:42 北京时间,男,回复 @虚无XIA :胖东来做服务都能让员工有带休假 有假期 有高薪 不用996，制造业老板给你什么了? 还没毕业的小屁孩就别在这瞎掺和了 赶紧玩王者去吧
负面,2024-12-08 03:17:02 北京时间,保密,回复 @专属Melo :不要老是想得到些什么，多思考国家发展需要什么。
负面,2024-12-08 03:34:10 北京时间,保密,回复 @专属Melo :他是故意搁这串呢
中立,2024-12-08 03:51:14 北京时间,保密,世界第一啦，加世界第一长时间的班[偷笑]你就说是不是遥遥领先
负面,2024-12-08 04:02:52 北京时间,保密,好像是滴，明年很多公司相互吞并，失去更多岗位，没钱活不下去的更多。
负面,2024-12-08 04:33:14 北京时间,保密,回复 @虚无XIA :串完了属于是
负面,2024-12-08 04:33:47 北京时间,保密,回复 @虚无XIA :别人真小粉红一句话，是你这辈子都达不到的高度
负面,2024-12-08 04:58:24 北京时间,保密,回复 @虚无XIA :无产阶级人士，无私奉献，不求回报
中立,2024-12-08 05:14:49 北京时间,男,回复 @虚无XIA :兔爷，您又来下大棋啦[抠鼻]
负面,2024-12-08 05:20:12 北京时间,保密,回复 @astray_neo : 提起外包是不是国内更加。。。。
负面,2024-12-08 05:39:16 北京时间,男,回复 @那咋办啊啊啊啊啊 :中国有钱人一样过的好啊
负面,2024-12-08 05:40:08 北京时间,男,回复 @依智不识者 :不管那个国家都是有有钱人和穷人
负面,2024-12-08 05:44:24 北京时间,男,回复 @虚无XIA : 一室不扫，何以扫天下？
负面,2024-12-08 05:55:56 北京时间,男,回复 @虚无XIA :别整宏大叙事了行吗
正面,2024-12-08 05:55:59 北京时间,男,宁德时代工资到底多少？看一堆人批判宁德时代也没看到具体工资和工作时间
中立,2024-12-08 06:02:45 北京时间,男,"回复 @两点水东流 :4800一个月，9106工作制,人家算下来时薪大概是在13块"
负面,2024-12-08 06:04:08 北京时间,保密,回复 @虚无XIA :头像符合人设
中立,2024-12-08 06:08:51 北京时间,男,回复 @虚无XIA :笑死，就你无私你有科技含量[抠鼻]
中立,2024-12-08 06:18:54 北京时间,保密,没事失业率继续走高，你不干有的是人干，我建议你赶紧润。宁德时代完全可以把底层员工裁掉，外包到越南印度，只保留中高层研发人员，这样就能做到给他的员工远超社会的福利与收入
负面,2024-12-08 06:30:46 北京时间,男,回复 @虚无XIA :串子死一边去
正面,2024-12-08 06:34:17 北京时间,保密,笑死 高科技是好的，给员工多发工资是坏的。不管你背后什么理论道理。拿工资的人永远只在乎有多少，制定规则的人让下面的一切生活品质只能由工资决定，就不要怪他们只看钱。
负面,2024-12-08 06:54:13 北京时间,保密,回复 @那咋办啊啊啊啊啊 :那你应该拿富士康的来比
负面,2024-12-08 07:40:55 北京时间,保密,回复 @虚无XIA :国家需要的是无私奉献，那你在干什么，领着高昂的薪水，严重影响企业经济发展
负面,2024-12-08 09:05:35 北京时间,保密,回复 @astray_neo :华为好意思和苹果微软比待遇？996加班不知道是哪些个大厂搞出来的，不会没有华为吧
负面,2024-12-08 09:12:07 北京时间,男,"回复 @yycyay :我不知道你说的对比是什么意思。但是要结合当地国家的经济发展水平和平均工资水平进行对比才是合理的，毕竟我们是发展中国家。微软的工资在美国是顶级的，华为的工资在中国也是顶级的。为什么就不能比呢？,,至于说996的问题，你似乎在暗示这是华为发明的？请问你有证据吗？另外，你可意识到了发展中国家的劳动力加班时间过长不只是中国的问题？你有考虑过为什么吗？你知道经济殖民吗？"
负面,2024-12-08 10:00:24 北京时间,保密,"回复 @虚无XIA :胖东来和制造业又不冲突，本身就是终端销售。,胖东来秒杀一众同行，优秀的销售企业是利好其他制造产业 共同进步的"
负面,2024-12-08 10:19:02 北京时间,男,回复 @虚无XIA :逆天
负面,2024-12-08 16:32:46 北京时间,男,回复 @虚无XIA :需要你一家24小时轮流无休敲螺丝。在这装什么呢？
负面,2024-12-08 19:09:25 北京时间,女,回复 @虚无XIA :你上班了吗？
负面,2024-12-08 19:58:09 北京时间,保密,回复 @虚无XIA :哥们，刑期还有多久啊？
负面,2024-12-09 00:07:34 北京时间,保密,回复 @虚无XIA :发配去流水线打12小时螺丝就老实了
负面,2024-12-09 03:13:13 北京时间,保密,回复 @那咋办啊啊啊啊啊 :这个得具体问题具体分析，比如这种互联网企业你可能敲些代码就能赚得盆满钵满，但很明显制造业肯定不能动动手指就能赚得盆满钵满，如果你要拿微软苹果比也应该去和腾讯，阿里，字节，华为这些比，不过这些公司的待遇和工资在国内也是顶级的，只是说没有苹果微软这些那么轻松和钱多而已
负面,2024-12-09 03:35:58 北京时间,男,回复 @虚无XIA :转人工
负面,2024-12-09 12:55:09 北京时间,保密,回复 @那咋办啊啊啊啊啊 :华为吸血够多了，要不要了解一下什么是统信OS
负面,2024-12-10 05:19:44 北京时间,保密,回复 @虚无XIA :你都说了是给国家做贡献，国企做贡献没什么私企做贡献让老板一天换一个劳斯莱斯吗
中立,2024-12-08 01:32:18 北京时间,男,要不说胖东来稍微有点风吹草动就被大肆批判呢[doge]
负面,2024-12-08 01:55:50 北京时间,保密,回覆 @专属Melo :特别招黑
中立,2024-12-08 01:58:28 北京时间,男,老美世界第一不是一堆人住平民窟的
负面,2024-12-08 02:00:23 北京时间,男,回复 @超星系团复合体 :微软苹果的员工可是过的很好的
正面,2024-12-08 02:03:45 北京时间,保密,说的不错
负面,2024-12-08 02:04:52 北京时间,保密,回复 @超星系团复合体 :搞极端没意思  非洲也有日子过得非常爽呢  按照普通人看
负面,2024-12-08 02:11:03 北京时间,保密,回复 @超星系团复合体 :老美住贫民窟的绝大可能是又懒又吸毒的
负面,2024-12-08 02:11:05 北京时间,男,回复 @那咋办啊啊啊啊啊 :你这话也能套在华为身上。而且你不知道的是微软苹果的大量业务都是外包的，这些外包企业的员工是否应该算成苹果微软员工呢？可
正面,2024-12-08 02:14:43 北京时间,男,是能套在华为身上啊，虽然加班多点，但宁德身为电池领域的大哥，是不是也能让他的员工过好点的呢，福利高点呢
负面,2024-12-08 02:32:58 北京时间,保密,回复 @虚无XIA :你能免费去制造业上几个月班吗？
负面,2024-12-08 02:50:35 北京时间,男,回复 @超星系团复合体 :我嘞个沪✌🏻，你们那没有穷人吗
中立,2024-12-08 03:03:31 北京时间,保密,你这个四维太不对的。如果宁德时代在德国。收入肯定翻了好几番，但是他在中国不可能跳跃成这样。这种高科技企业其实已经带动溢价了劳动力了。只有很多很多高科技企业才能带动14亿人。
负面,2024-12-08 03:05:28 北京时间,男,回复 @黄映辉 :甚至不如开超市的胖东来的员工福利好
负面,2024-12-08 03:08:08 北京时间,保密,回复 @依智不识者 :[doge_金箍]
负面,2024-12-08 03:09:36 北京时间,保密,回复 @超星系团复合体 :老美贫民窟里都是世界一线大厂的员工？
负面,2024-12-08 03:11:42 北京时间,男,回复 @虚无XIA :胖东来做服务都能让员工有带休假 有假期 有高薪 不用996，制造业老板给你什么了? 还没毕业的小屁孩就别在这瞎掺和了 赶紧玩王者去吧
负面,2024-12-08 03:17:02 北京时间,保密,回复 @专属Melo :不要老是想得到些什么，多思考国家发展需要什么。
负面,2024-12-08 03:34:10 北京时间,保密,回复 @专属Melo :他是故意搁这串呢
中立,2024-12-08 03:51:14 北京时间,保密,世界第一啦，加世界第一长时间的班[偷笑]你就说是不是遥遥领先
负面,2024-12-08 04:02:52 北京时间,保密,好像是滴，明年很多公司相互吞并，失去更多岗位，没钱活不下去的更多。
负面,2024-12-08 04:33:14 北京时间,保密,回复 @虚无XIA :串完了属于是
负面,2024-12-08 04:33:47 北京时间,保密,回复 @虚无XIA :别人真小粉红一句话，是你这辈子都达不到的高度
负面,2024-12-08 04:58:24 北京时间,保密,回复 @虚无XIA :无产阶级人士，无私奉献，不求回报
中立,2024-12-08 05:14:49 北京时间,男,回复 @虚无XIA :兔爷，您又来下大棋啦[抠鼻]
负面,2024-12-08 05:20:12 北京时间,保密,回复 @astray_neo : 提起外包是不是国内更加。。。。
负面,2024-12-08 05:39:16 北京时间,男,回复 @那咋办啊啊啊啊啊 :中国有钱人一样过的好啊
负面,2024-12-08 05:40:08 北京时间,男,回复 @依智不识者 :不管那个国家都是有有钱人和穷人
负面,2024-12-08 05:44:24 北京时间,男,回复 @虚无XIA : 一室不扫，何以扫天下？
负面,2024-12-08 05:55:56 北京时间,男,回复 @虚无XIA :别整宏大叙事了行吗
正面,2024-12-08 05:55:59 北京时间,男,宁德时代工资到底多少？看一堆人批判宁德时代也没看到具体工资和工作时间
中立,2024-12-08 06:02:45 北京时间,男,"回复 @两点水东流 :4800一个月，9106工作制,人家算下来时薪大概是在13块"
负面,2024-12-08 06:04:08 北京时间,保密,回复 @虚无XIA :头像符合人设
中立,2024-12-08 06:08:51 北京时间,男,回复 @虚无XIA :笑死，就你无私你有科技含量[抠鼻]
中立,2024-12-08 06:18:54 北京时间,保密,没事失业率继续走高，你不干有的是人干，我建议你赶紧润。宁德时代完全可以把底层员工裁掉，外包到越南印度，只保留中高层研发人员，这样就能做到给他的员工远超社会的福利与收入
负面,2024-12-08 06:30:46 北京时间,男,回复 @虚无XIA :串子死一边去
正面,2024-12-08 06:34:17 北京时间,保密,笑死 高科技是好的，给员工多发工资是坏的。不管你背后什么理论道理。拿工资的人永远只在乎有多少，制定规则的人让下面的一切生活品质只能由工资决定，就不要怪他们只看钱。
负面,2024-12-08 06:54:13 北京时间,保密,回复 @那咋办啊啊啊啊啊 :那你应该拿富士康的来比
负面,2024-12-08 07:40:55 北京时间,保密,回复 @虚无XIA :国家需要的是无私奉献，那你在干什么，领着高昂的薪水，严重影响企业经济发展
负面,2024-12-08 09:05:35 北京时间,保密,回复 @astray_neo :华为好意思和苹果微软比待遇？996加班不知道是哪些个大厂搞出来的，不会没有华为吧
负面,2024-12-08 09:12:07 北京时间,男,"回复 @yycyay :我不知道你说的对比是什么意思。但是要结合当地国家的经济发展水平和平均工资水平进行对比才是合理的，毕竟我们是发展中国家。微软的工资在美国是顶级的，华为的工资在中国也是顶级的。为什么就不能比呢？,,至于说996的问题，你似乎在暗示这是华为发明的？请问你有证据吗？另外，你可意识到了发展中国家的劳动力加班时间过长不只是中国的问题？你有考虑过为什么吗？你知道经济殖民吗？"
负面,2024-12-08 10:00:24 北京时间,保密,"回复 @虚无XIA :胖东来和制造业又不冲突，本身就是终端销售。,胖东来秒杀一众同行，优秀的销售企业是利好其他制造产业 共同进步的"
负面,2024-12-08 10:19:02 北京时间,男,回复 @虚无XIA :逆天
负面,2024-12-08 16:32:46 北京时间,男,回复 @虚无XIA :需要你一家24小时轮流无休敲螺丝。在这装什么呢？
负面,2024-12-08 19:09:25 北京时间,女,回复 @虚无XIA :你上班了吗？
负面,2024-12-08 19:58:09 北京时间,保密,回复 @虚无XIA :哥们，刑期还有多久啊？
负面,2024-12-09 00:07:34 北京时间,保密,回复 @虚无XIA :发配去流水线打12小时螺丝就老实了
负面,2024-12-09 03:13:13 北京时间,保密,回复 @那咋办啊啊啊啊啊 :这个得具体问题具体分析，比如这种互联网企业你可能敲些代码就能赚得盆满钵满，但很明显制造业肯定不能动动手指就能赚得盆满钵满，如果你要拿微软苹果比也应该去和腾讯，阿里，字节，华为这些比，不过这些公司的待遇和工资在国内也是顶级的，只是说没有苹果微软这些那么轻松和钱多而已
负面,2024-12-09 03:35:58 北京时间,男,回复 @虚无XIA :转人工
负面,2024-12-09 12:55:09 北京时间,保密,回复 @那咋办啊啊啊啊啊 :华为吸血够多了，要不要了解一下什么是统信OS
负面,2024-12-10 05:19:44 北京时间,保密,回复 @虚无XIA :你都说了是给国家做贡献，国企做贡献没什么私企做贡献让老板一天换一个劳斯莱斯吗
中立,2024-12-08 09:10:19 北京时间,保密,明显没经过社会毒打
中立,2024-12-08 10:01:31 北京时间,女,研究生怎么了，不产出一点GDP。LZ已经比室友清醒一点了，等进入社会，就会发现一个完全不一样的世界
负面,2024-12-08 12:09:50 北京时间,保密,研究生就是hn，大学牲也就只是为了缓解就业压力，他们连你的前途都不在乎就更不在乎其他的了，要说有啥在意的，大概也就大四的时候就业率了
负面,2024-12-08 15:14:54 北京时间,男,回复 @排骨年糕加蛋饼 :谁告诉你不产出gdp，研究生被榨得可狠了，事实上所有的科研都是研究生做的，科学家（导师）负责的的那叫科研管理
中立,2024-12-08 15:19:39 北京时间,男,这些就是吸引你们注意力而已
中立,2024-12-08 15:31:04 北京时间,保密,[doge]说是读大学有用，其实就是缓解就业压力而已，大部分学的出来社会还是要重新学
中立,2024-12-08 16:16:32 北京时间,保密,我怀疑你说的不是研究生[doge_金箍]
负面,2024-12-08 17:18:41 北京时间,女,学生是典型的脱产阶级
负面,2024-12-09 02:14:49 北京时间,男,回复 @柒鹦 :研究生可不是
负面,2024-12-09 03:03:06 北京时间,保密,回复 @柒鹦 :研究生脱个毛产啊，干活的多了去了
负面,2024-12-09 03:35:44 北京时间,男,回复 @柒鹦 :研究生不是，研究生类似于以前的学徒，交钱干活学知识
负面,2024-12-09 03:51:42 北京时间,女,回复 @明动故丰 : 我知道的 ，但是你们的主要身份是学生，靠干活学知识拿文凭的，干活的价值，已经体现在学位证、学历、拿到的学生补贴等等里。超出的价值，体现在老师、学校等上面，跟你们没关系了。就像企业里工作，干活的价值已经体现在自己的工资里。而企业的XX千万/亿的市值，跟普通员工一点关系都没有（除了一些好听的名声）。创造的GDP，也不算在普通员工头上。相反，个人买个面包，消费的GDP才算个人头上
负面,2024-12-09 04:45:26 北京时间,保密,回复 @排骨年糕加蛋饼 :可别张口就一棒子把所有研究生打死了，工科研究生干横向企业合作的多了去了，跟正式上班比被压榨的更惨，而且都讲成果转化的；你说的没产出，说大部分本科生这是没意见的
中立,2024-12-09 04:53:44 北京时间,保密,就这么说，人活一口气，别人不把自己当回事，那是别人的事，自己不把自己当回事，那口气就没了
负面,2024-12-12 10:51:05 北京时间,男,回复 @柒鹦 :研究生免费劳动力，替导师打工
负面,2024-12-12 10:51:38 北京时间,男,回复 @排骨年糕加蛋饼 :工科研究生还脱产啊
负面,2024-12-13 07:59:50 北京时间,女,回复 @排骨年糕加蛋饼 : 工科研究生是干活的，我了解到有些项目某些大学导师开公司，然后让研究生干活，真不是你认为的那样……
负面,2024-12-22 01:31:47 北京时间,男,回复 @排骨年糕加蛋饼 :补贴还没学费多，哈哈笑死
负面,2024-12-25 08:32:06 北京时间,女,回复 @明动故丰 :没绷住，是这样的，稍微有点搞头的工科组学生基本996。956都得🙏
负面,2024-12-30 11:05:10 北京时间,保密,回复 @明动故丰 :做出啥实际成果了，不夸张的说95%以上不是毫无意义的水毕业就是各种杂糅所谓的创新，混毕业拿个证，当真了？
负面,2025-01-02 07:22:22 北京时间,保密,回复 @柒鹦 :研究生脱产个毛线🤣
中立,2024-12-08 09:10:19 北京时间,保密,明显没经过社会毒打
中立,2024-12-08 10:01:31 北京时间,女,研究生怎么了，不产出一点GDP。LZ已经比室友清醒一点了，等进入社会，就会发现一个完全不一样的世界
负面,2024-12-08 12:09:50 北京时间,保密,研究生就是hn，大学牲也就只是为了缓解就业压力，他们连你的前途都不在乎就更不在乎其他的了，要说有啥在意的，大概也就大四的时候就业率了
负面,2024-12-08 15:14:54 北京时间,男,回复 @排骨年糕加蛋饼 :谁告诉你不产出gdp，研究生被榨得可狠了，事实上所有的科研都是研究生做的，科学家（导师）负责的的那叫科研管理
中立,2024-12-08 15:19:39 北京时间,男,这些就是吸引你们注意力而已
中立,2024-12-08 15:31:04 北京时间,保密,[doge]说是读大学有用，其实就是缓解就业压力而已，大部分学的出来社会还是要重新学
中立,2024-12-08 16:16:32 北京时间,保密,我怀疑你说的不是研究生[doge_金箍]
负面,2024-12-08 17:18:41 北京时间,女,学生是典型的脱产阶级
负面,2024-12-09 02:14:49 北京时间,男,回复 @柒鹦 :研究生可不是
负面,2024-12-09 03:03:06 北京时间,保密,回复 @柒鹦 :研究生脱个毛产啊，干活的多了去了
负面,2024-12-09 03:35:44 北京时间,男,回复 @柒鹦 :研究生不是，研究生类似于以前的学徒，交钱干活学知识
负面,2024-12-09 03:51:42 北京时间,女,回复 @明动故丰 : 我知道的 ，但是你们的主要身份是学生，靠干活学知识拿文凭的，干活的价值，已经体现在学位证、学历、拿到的学生补贴等等里。超出的价值，体现在老师、学校等上面，跟你们没关系了。就像企业里工作，干活的价值已经体现在自己的工资里。而企业的XX千万/亿的市值，跟普通员工一点关系都没有（除了一些好听的名声）。创造的GDP，也不算在普通员工头上。相反，个人买个面包，消费的GDP才算个人头上
负面,2024-12-09 04:45:26 北京时间,保密,回复 @排骨年糕加蛋饼 :可别张口就一棒子把所有研究生打死了，工科研究生干横向企业合作的多了去了，跟正式上班比被压榨的更惨，而且都讲成果转化的；你说的没产出，说大部分本科生这是没意见的
中立,2024-12-09 04:53:44 北京时间,保密,就这么说，人活一口气，别人不把自己当回事，那是别人的事，自己不把自己当回事，那口气就没了
负面,2024-12-12 10:51:05 北京时间,男,回复 @柒鹦 :研究生免费劳动力，替导师打工
负面,2024-12-12 10:51:38 北京时间,男,回复 @排骨年糕加蛋饼 :工科研究生还脱产啊
负面,2024-12-13 07:59:50 北京时间,女,回复 @排骨年糕加蛋饼 : 工科研究生是干活的，我了解到有些项目某些大学导师开公司，然后让研究生干活，真不是你认为的那样……
负面,2024-12-22 01:31:47 北京时间,男,回复 @排骨年糕加蛋饼 :补贴还没学费多，哈哈笑死
负面,2024-12-25 08:32:06 北京时间,女,回复 @明动故丰 :没绷住，是这样的，稍微有点搞头的工科组学生基本996。956都得🙏
负面,2024-12-30 11:05:10 北京时间,保密,回复 @明动故丰 :做出啥实际成果了，不夸张的说95%以上不是毫无意义的水毕业就是各种杂糅所谓的创新，混毕业拿个证，当真了？
负面,2025-01-02 07:22:22 北京时间,保密,回复 @柒鹦 :研究生脱产个毛线🤣
正面,2024-12-08 06:02:19 北京时间,保密,问题从来不是15亿还是4亿，问题在于由奢入简难的问题；当一个社会从15亿掉到4亿的时候，不是社会的大崩溃的时候吗
负面,2024-12-08 06:08:45 北京时间,保密,回复 @TomDarek89 :那也不是你该操心的
负面,2024-12-08 06:30:28 北京时间,保密,回复 @-在-人-间- :那也不用你来管我操心什么
中立,2024-12-08 09:31:08 北京时间,保密,回复 @TomDarek89 :你们很多人都以为人口下降那么快吗？14亿变成4亿，差不多要要100年[笑哭]你根本都看不到那个时候
负面,2024-12-08 15:31:26 北京时间,保密,回复 @TomDarek89 :这事是操心就能解决的吗？社会到那一步了，人口不可扭转。
负面,2024-12-09 03:49:58 北京时间,男,回复 @TomDarek89 :你都活不到人口4亿的时候，操心什么
负面,2024-12-09 04:48:55 北京时间,保密,回复 @逃离横滨的乡下人 :按照现在的出生率，可以推算出60年后，还有8亿人口，别说4亿人口，能看到8亿人口就已经很长寿了
中立,2024-12-10 19:12:04 北京时间,保密,回复 @現世妄執の灵 :哈哈，还能活到小90，谢谢友友的祝福[tv_笑哭]
中立,2024-12-10 19:16:57 北京时间,保密,回复 @現世妄執の灵 :不过，不能按照现在的负增长人口，假设稳定出生500万，但对应死亡人口以后会达到2000万左右[tv_笑哭]，60年之后估计只有6亿人[tv_笑哭]
负面,2024-12-10 19:17:57 北京时间,保密,回复 @TomDarek89 :看你年纪了，如果现在25+，到四亿人口，那是你85+的年纪，其实不用太担心，也该走了
负面,2024-12-10 21:24:18 北京时间,保密,回复 @TomDarek89 :你瞎操心什么？你能做救世主啊？
负面,2024-12-10 21:25:38 北京时间,保密,回复 @TomDarek89 :你要是操心，你去生个成千上万也没人管
负面,2024-12-11 10:55:57 北京时间,保密,回复 @TomDarek89 : 一年一年改时间很多
负面,2024-12-12 00:59:23 北京时间,保密,回复 @TomDarek89 :你多生点吧，既然这么关心
