昵称,性别,时间,点赞,评论,IP属地,二级评论条数,等级,uid,rpid
亲切的绅士,保密,2024-04-19 17:55:47 北京时间,2183,"来看看几类典型的适龄青年：,1 小王：没有工作家里蹲，对后代的未来充满担忧，怕后代埋怨自己无能。不敢生。,2 小张：收入较高。但天天加班。累得要命。回家只想睡觉或者刷手机，连打开电脑玩游戏都没有力气。更不说去谈恋爱了。,3 小刘：和小张一样很忙。但是在父母的安排下认识了一个异性朋友。结果由于经常加班，约会不频繁，感情不怎么到位。迟迟没有后续。,4 小李：小李就是小刘的异性朋友。不但小刘忙着加班没有约会，小李也一样。实际上对小刘不是太满意。但是也没那么多时间找更好的。,5 小秦：收入高也不忙，属于少数派。他是五个人里唯一考虑结婚生子的。但也只是考虑而已。毕竟他收入虽然高，但是却觉得养孩子很贵又麻烦。,,————这样人口能多？",山东,117,6,2730589,217650296224
萌萌与秋分,保密,2024-04-19 12:21:41 北京时间,4500,我不生有的是人生 急啥子嘛[吃瓜],四川,40,5,293681381,217604558352
星星是冰冷的玩具呀,保密,2024-04-19 21:11:44 北京时间,3926,能把人这么吃苦耐劳的生物养成这样，要怪谁啊[doge],山东,8,5,381359319,217657473952
Callyshun,保密,2024-04-20 20:05:14 北京时间,1785,说的好，但是五一调休,广东,13,6,4165863,217811378928
莲-莲--,男,2024-04-18 13:11:09 北京时间,1947,哪怕像我这样有幸福的原生家庭，一直成绩名列前茅，我也是活的够累了，我不能让我心爱的孩子再在三战前夕来遭罪,甘肃,37,6,383590359,217464283488
前面忘了,保密,2024-04-18 06:03:08 北京时间,1721,游戏不好玩又退不了坑，那不带新玩家也正常吧,广东,8,5,1642526589,217409985632
bili_62057179,保密,2024-04-27 01:04:10 北京时间,43,[给心心]谁说国内人工智能落后的，这不妥妥的遥遥领先？,江西,1,5,62057179,218709872192
不见兔子不落泪,保密,2024-04-18 03:20:13 北京时间,1636,每到周末节假日南京地铁景区挤满了人，你就知道，人一点没少，哪里少了，一直是这么多好不好，嫌人少的多从自己身上找原因，这么多年有没有努力再生一个[doge],江苏,48,6,27179273,217388644608
不能捡的肥皂君,男,2024-04-18 03:52:58 北京时间,1054,实际上最能生的是富人和最底层的人。主要是不上不下的不生。,江西,27,6,3911949,217392648880
唏-可以和解吗,保密,2024-05-03 04:42:17 北京时间,371,只是调生而已，我上辈子应该是1910-1960左右的，当时已经生了八个，现在就没得生了。就像我们现在放了假下个星期只能休息一天一样。,广东,4,6,1734919,219655847600
帅呆的脸盆啊,男,2024-04-20 08:46:05 北京时间,1118,jieji两个字烫嘴，闭口不提，不过也没什么毛病，几乎所有人都在回避这个东西，但它确确实实存在而且越来越牢固，勇士还是稀缺的，但总会有的[喜极而泣],广东,20,5,490840786,217725181424
夹哥最帅,男,2024-06-18 12:56:11 北京时间,74,公平公正,辽宁,2,6,23799833,226974530288
RC野猫中队,保密,2024-04-18 03:25:17 北京时间,966,几代人的积累都已经被房产花光了啊,安徽,11,6,397427833,217389247600
purpoooooo,保密,2024-05-03 01:13:34 北京时间,279,11点半下班，12点半到家，7点起床，8点半上班，什么时候谈恋爱生孩子，午休的时候吗？,江西,15,5,286258660,219628714640
-细竹辉夜姬-,男,2024-04-19 14:12:49 北京时间,274,算了算自己长到结婚现在花了多少家里的钱，算完之后发现爹妈不要我绝对经济自由了,山东,15,6,12507335,217621660240
鱼丸刹那,保密,2024-05-04 14:44:05 北京时间,835,一句话，我过的差。那这个世界再好，与我何干？,广东,15,5,499533840,219911234928
规格外品,男,2024-05-03 09:48:41 北京时间,375,我个人深有体会，我爸妈养我这个废物，现在工资还没他们一半高。[笑哭]我这辈子一直在拖他们的后腿，别说给他们提供经济了，现在甚至还需要他们给我买房结婚。[笑哭]所以干脆就别结婚了，不能再继续坑父母了。让他们老年过的富足，我鞍前马后报答一下养育之恩。至于我自己，爸妈留给我的资产应该够我安度晚年了。要是再结婚生子那岂不是直接掏空[笑哭]所以我基本不太可能结婚生子了。,云南,29,6,319730,219697476784
不见观音,男,2024-04-18 04:07:26 北京时间,976,我是很不能理解修仙小说里配角死了之后为啥不惜一切代价都要重入轮回。愿我死后，不入轮回。,安徽,49,6,23855194,217394550400
平平无奇小神木,保密,2024-04-18 13:23:23 北京时间,265,不是我不想生，而是没有生孩子的条件，我现在在三线小城市，房价一万多一平米，我是一本药学失业半年多了，我老婆是985的硕士，之前失业将近一年，最近才找到工作，工资只有四千多。我们一个月除去房租吃饭也就剩一千块钱，我们接受不了在出租屋里生孩子，想买房子的话，需要攒一百年，我要是也能找到工作，估计二十多年就能买到房子了。反正啥时候有了好工作，能买得起房子，能给孩子良好的成长条件，才会考虑要孩子。,山东,40,6,18462431,217466326560
早睡早起的猫,保密,2024-04-19 06:01:27 北京时间,890,工业化时代，生育作为劳动力再生产的一种经济行为，由家庭承担了绝大部分的成本，却由社会收走了绝大部分的利益。而生育力的下跌，宣告着新自由主义现代家庭形式已经不能适应工业3.0后的社会模式，而部分中国家庭甚至才刚刚走出农业家族。,山东,11,5,26460131,217555826608
六等星の辉,男,2024-04-18 04:22:46 北京时间,558,拒绝生育是正确的，资本的最成熟收割流程就是从结婚到生育，彩礼车房且不论，从怀孕到月子，到价格比平常产品贵三四倍的母婴产品，再到培训科，兴趣班，避开资本这一套收割，你就会有很多钱了,江苏,51,6,4547294,217396776688
青山无明月,保密,2024-05-03 06:30:52 北京时间,877,人口红利是社会的红利，不是个人的红利。。对老百姓来说人口太多就业竞争就激烈,韩国,21,6,43850942,219671034864
盒子灰成盒,保密,2024-04-20 11:48:40 北京时间,262,生育率下跌的本质不就是资本再生产严重挤压了劳动再生产么，把分配问题解决了，生育率分分钟上去。可惜分配这个根本问题难以解决[嗑瓜子][嗑瓜子][嗑瓜子][嗑瓜子],广东,11,5,492656410,217751973792
GGB-月亮,保密,2024-04-19 18:43:57 北京时间,719,我觉得出生率还是高，要不为什么有这么多出生,新疆,10,5,601276763,217653075680
我黑不得叻,保密,2024-04-18 06:10:36 北京时间,262,繁衍是刻在基因里的东西，只要环境适宜，就会繁衍。对于人来说，这环境的要素太多了。,重庆,12,5,379594145,217410926832
澄十月啪啪啪,男,2024-04-18 06:41:06 北京时间,646,我刚刚被平均了11万到账，马上消费,广东,28,5,180898301,217413997328
知识都是牢笼与枷锁,保密,2024-04-18 05:13:07 北京时间,231,一大堆问题都会在后面的50年内浮出水面，为啥是50年，因为90后已经30多岁了，85岁也算是高寿了。,江苏,8,4,3546579808029467,217404291168
你的评论已不存在0,女,2024-04-18 03:01:18 北京时间,631,游戏福利不行自然没有萌新入驻啊,黑龙江,11,3,3546601261894256,217386329328
言不由衷的混蛋,保密,2024-04-18 04:32:27 北京时间,200,就和买车一样买车容易养车难[偷笑],广西,18,5,498602186,217398158944
逆袭的哥斯拉,保密,2024-04-23 09:51:18 北京时间,829,"影响生育率最关键的因素是：生活的松弛感。,现在中国人太累了，花了太多时间在工作上面，每天除了上班就是在通勤。,我表哥二十年前移民到新西兰，开小店，每天下午三点就关门去海边溜达，说政府不让他超时营业。,要先让中国的年轻人慢下来，闲下来，他们才有空谈恋爱，有空谈恋爱了，才能生孩子。人口降低是趋势，但是有很多办法可以减缓。不是喊提高妇女生育权益吗，把产假期间企业的税收相应降低。 不是喊弹性4.5天工作制吗，你把落实4.5天工作的企业税收降一降，大家每周放假2.5天，不是也更愿意出门走走消费了，更愿意谈恋爱了，最后钱还不是回到国家口袋吗。",福建,28,4,24645288,218181234352
白色的摆烂,男,2024-04-19 03:16:06 北京时间,776,高中教过有个叫环境容纳量的东西,江苏,11,4,3493109558151648,217533760608
可莉大老公,保密,2024-04-21 14:49:32 北京时间,167,我们不用急，会有人急[吃瓜],重庆,1,5,486108736,217939333184
疾风豪意,保密,2024-04-18 15:59:12 北京时间,694,我都活得这么累，感觉没有必要结婚生子。说实话，我自己都不愿意来到这个世界上。,云南,14,6,441425403,217490528720
新樂園,保密,2024-04-18 01:59:21 北京时间,194,小农经济，土地和男子劳动力，就是资本和生产工具，多生男子，就是多了劳动力，然后可以多买田地，逐渐变成富农。三五代人之后，或许可以再培养一个读书人做官[吃瓜]这又何尝不是资本的成长和聚敛[吃瓜],未知,8,6,495255518,217379583088
儒雅随和气自闲,男,2024-04-18 13:20:52 北京时间,538,"有个问题哈,就是比如你是外地人，在北京生的小孩，算北京的新增人口还是本省的呀？ 看目前新增人口的城市，都是外来人口打工的地方",浙江,24,5,479488626,217465812272
放学别走楼顶见,保密,2024-04-18 05:34:54 北京时间,195,人口不重要，ai技术可以大量替代过剩人口的[吃瓜]一定会越来越好，我在努力学英语了，回答完毕[微笑],湖南,21,5,3493113012161467,217406977536
wslwq,保密,2024-04-18 03:02:29 北京时间,555,还是恩格斯那个物质再生产和人的再生产的理论，在现代社会物质生产的成本和收益已经不由家庭这一组织共享共担，若人的生产成本不能有由社会这一组织共享共担，人的再生产就不能被促进。,山东,21,6,13272552,217386239808
态度-ing,男,2024-04-18 04:31:41 北京时间,216,"90后00后是该卷还得卷，千万级毕业潮马上就又来了。,过去两年都是千万级，只不过今年是最多的而已，三年合计超3000万，劳动力多的是，你不干有的是人干。,等90后00后老了，卷不动了，临了还得再吃一口劳动力减少的苦。",海南,18,5,59081577,217398207536
仲春之奔,保密,2024-04-19 03:43:06 北京时间,596,不存在人口红利耗尽的问题，你看看现在找不到工作的人有多少，到处是内卷，这些都是人口红利，中国的人口红利资源永远不缺，缺的是市场，如果有足够的市场订单，这些找不到工作的人马上就可以成为人口红利被利用起来,湖北,27,5,356365860,217537063120
print_WMW,保密,2024-04-18 04:39:13 北京时间,135,三代人努力才有了我有房有车大学文凭，如果我孩子想有我这高度，至少要么他能考上研究生要么我一个人顶三代人,陕西,6,5,156878193,217399443712
菲常离谱不能接受,保密,2024-04-19 12:43:25 北京时间,468,经历着最激烈的竞争，，，享受着惨不忍睹人生，，，[笑哭],上海,5,5,7280174,217607861296
TOMATOPLAYER,男,2024-04-21 12:44:53 北京时间,133,其实不买房不想着结婚生子，你的幸福感就会提高很多（你是个人啊，不要给别人灌输以人生流程来公式化你的人生，那你会像流水线的机器一样，迟早会磨坏的[吃瓜]）祝各位过的开心~,广东,3,6,33311708,217920314576
964885128,保密,2024-04-19 17:17:42 北京时间,436,扪心自问一下，这是一个美好的世界吗？把孩子带过来，真的对他好吗？,新疆,15,5,1918796922,217647231632
树祎晟瑞,男,2024-04-18 15:31:03 北京时间,146,现在自己挣钱自己花，不管是物质还是思想层面都不缺乏，为什么一定要结婚生子呢。非得要耗尽自己和爹妈下半生6个钱袋，给自己找罪受呢！是游戏不好玩了，还是漫画不好看了[doge],河北,8,5,1250730246,217486344400
有机会我就做资本家,保密,2024-04-18 05:53:18 北京时间,362,现在底层的小孩子绝大部分都是负资产，带来的只有情绪价值。养小孩养老，大部分是做不到的，很多都是父母最后的时刻才会去陪伴一段时间甚至最后一面没见过的都很多。没有小孩除了孤寂一些其他并没有什么,广西,11,4,3494356545702635,217408958272
亿万年直男,男,2024-04-18 04:23:47 北京时间,325,身边统计学的出来救一下啊，你们不是说身边全都是生二胎三胎的吗[吃瓜],上海,11,6,12609885,217396953696
godtxf,保密,2024-04-19 08:40:15 北京时间,154,其实关于生育率降低，有个核心问题UP主没说到，就是整体生育时间间隔放大了。以前，100年内可以繁衍5-6代人，而现在结婚生子的评率100年只能繁衍3-4代，整整少了2代了。,四川,4,4,1494369500,217572719312
Linda058,女,2024-04-19 12:15:52 北京时间,153,就这么说吧[嗑瓜子]我周边所有本地家庭，已经很久很久很久没有过新增人口了，不论是同学也好，朋友也好，亲戚也好，自家也好，我们有一个一致的共识，现在这个年代不生孩子是一件很正常的事情，至于这个年代是个什么样的年代，自行理解吧[OK],上海,6,6,3816775,217603770752
本可美丽降淋惹,保密,2024-04-20 12:13:00 北京时间,123,我最近换了一个小区 每天九点回去的时候真的有很多小孩 还有不少带二胎的[脱单doge]我说的实话 什么 你问我 没看见我九点才回去吗,四川,12,6,146589599,217755713328
Beaurmei,保密,2024-05-07 08:28:11 北京时间,185,人们发现拜神没用就断了香火各干各的去了，这时候神仙就急了，早先享受香火的时候可有想过哪怕降下一场雨呢[呲牙],湖南,3,4,1245471617,220312304848
铁血真君,男,2024-04-19 11:10:35 北京时间,161,养老行业将是下一个起飞的行业[吃瓜],湖南,8,5,494124561,217593753568
看你很顺,男,2024-04-18 06:21:51 北京时间,183,这种趋势在近半个世纪难得好转。不过前几年就听说国家要大力发展人工智能，可以替代最底层的劳动力资源。比如自动化农业。自动化流水线工业。我个人预计就是为了未来人口缩减的一个最有利的措施。以后在看不到的未来。真的会有大量的智能机械在无休止劳作。解决人类最基本的生存必需品。,江苏,38,5,445594350,217412105168
丶暴风雪,保密,2024-04-19 15:27:06 北京时间,117,当年都没生，现在更是坚决不生，跟老婆丁克九年了，没有负担，感觉良好,四川,18,5,479759256,217633495072
胡霄景,保密,2024-04-20 13:21:59 北京时间,134,还有各种逆天的婚姻法，对男性没什么好处，压力还大，就不愿意结婚生子了，成本太高了。,江西,6,5,588596167,217766448800
Yasen-885,保密,2024-05-03 08:12:19 北京时间,116,让那些岁月静好的人多生点吧，我还要负重前行，就先不生了[呲牙],安徽,1,5,415471638,219683902496
大家好才是真滴好,保密,2024-04-21 12:11:56 北京时间,88,人口增长省靠的也是其他省的人，不是自然人口增长,河南,1,6,14172820,217915600160
不惹浮尘,保密,2024-06-18 06:00:18 北京时间,85,说到底，就是底层没钱，养不起。  房、车、生活成本、孩子的养育成本，看看现在的普通人，多少人能挣到那么多钱,重庆,0,5,2096378454,226916685920
终须有莫强求_,保密,2024-04-19 13:05:39 北京时间,182,都说养儿防老，我当了20多年的儿子，能不能防老我还不知道吗？[doge] 万一生一个我这样的，真就是心头大患了,山东,30,5,12478571,217611209248
阿倪的风筝,男,2024-04-19 19:00:20 北京时间,95,儿孙自有儿孙福。没有儿孙我享福。真不考虑结婚了，30岁开始存钱养老,广西,11,6,2829919,217653840208
清风明月aaa,保密,2024-04-18 13:07:51 北京时间,109,党员干部走在前，群众致富就不难！,山东,2,5,413590243,217463934416
何越之,保密,2024-04-18 06:08:30 北京时间,91,在一个稳定的社会，大部分情况强者恒强，弱者恒弱。,湖南,4,6,170345577,217410667344
leo初见_,保密,2024-04-18 04:30:45 北京时间,73,还在读初中的时候就想过。父母养我一个都很花钱，班上的双胞胎他们父母养他们什么花费都要×2，想想都觉得很难养得起[藏狐],四川,3,6,223367634,217398030176
斑马座幻想,保密,2024-04-19 12:51:36 北京时间,72,"人口红利这东西一看就不能永久持续下去，想要继续保持社会福利，那就只能生产机器人，然后让机器人无偿工作赡养人类了。,但是这需要多少年？,我肯定等不到",河北,12,6,3750405,217609009456
王先生12312312,保密,2024-04-18 02:09:09 北京时间,72,没工作岗位怎么生,广东,10,4,1562914349,217380745536
房子的日记,保密,2024-04-20 09:02:55 北京时间,80,这个UP说得也不对，古时候疯狂生育的目的，一个是存活率低，寿命低，一个是每个朝代初年是有足够的土地分配的，但不到100年，穷人就没有立锥之地了。,甘肃,4,5,638559316,217727413552
黑白独舞者,保密,2024-04-19 14:35:40 北京时间,69,不患寡而患不均，自己都生存的比较辛苦或者说没过上想要的生活，在财富越来越集中的情况下，怎么生？,辽宁,2,5,360723532,217625360064
小核桃饼干挺好吃,男,2024-04-19 08:29:23 北京时间,143,还是因为公司不愿意招人，就算招人还得是一个人干三个人的工作，工资是不会高的，只用付一分钱，最近不是还有个公司共享员工。。不知道是哪个cs能想的出的。还有就是外包，劳务派遣，这两个是毒瘤操作。,江苏,9,6,17053045,217571428896
秋天早晨的白杨,男,2024-04-22 12:24:09 北京时间,64,说得好，奖励你五一调休小长假[doge],福建,2,6,179606208,218060933600
不说真话的老胡,保密,2024-04-18 03:15:09 北京时间,72,生有一女，月子中心，奶粉，尿片，保险，确实花钱的，然后现在安排兴趣班，国内教育模式和大环境会让你有孩子觉得累，当然除开经济上，更多是心累,江西,4,5,14946761,217388013664
mzchjian,保密,2024-04-19 07:55:53 北京时间,73,"出生率低是各种因素综合的结果吧，最重要的就是口袋里没什么钱，生育成本太高，干脆就不生了,,其次就是结婚的人也没以前多了，自然生育小孩的人也少了。用前面一个热评里的话说就是  “越努力越穷的怪相（跟不上婚姻的需求）出来之后，就不会再考虑结婚生子了” ，20年前你没有什么正式工作，只要你扎扎实实找事做，要找个条件和自己差不多的女朋友也不会太难，但是现在应该会挺难的了……",广东,5,6,65617149,217567783360
波波啵啵嘴,保密,2024-04-19 15:26:40 北京时间,64,什么叫底层的绝招[笑哭]至少在我这IP，现实就是生不起，但凡能挣点钱有的是人生，但现实就是六个钱包都养不动下一代了。而我这边小老板、有钱人，家均三四个孩子。,河南,4,5,475108177,217633470304
csc19001,保密,2024-04-18 04:25:31 北京时间,69,一个就够两个压力大，过来人的忠告。,江苏,16,6,356622574,217397256304
fatfatbbchu,保密,2024-06-14 03:29:39 北京时间,54,"我在香港這邊，公婆給我們一套房，每月象徵性給三千租金。我在家工作，全職工作是9小時（包午膳時間），但工作量不大，我實際每天只有工作4小時，其他時間都是處理家務事和接送女兒上學放學，月薪1萬6左右。我老公月薪2萬左右，我們兩個家庭收入在香港這邊算是比較基層一群人但未至於窮得活不下去，主要是因為解決了住的問題。香港除了能租用公屋的人，沒有人租金可以兩三千解決的。女兒一個月的補習班興趣班校車午膳飯錢平時帶去玩，買點玩具買點書就花我大約1萬至1萬5。全家人吃飯買食材一個月一萬，保險電話上網費兩三千，水電煤一二千，交通一千多，剩下幾千買一下日用品給點錢父母就沒剩了。覺得人生好累，想輕鬆一下的時候會去深圳，覺得深圳物價什麼都好便宜，一下子對比就出來了。,說了這麼久就想說內地的月薪二三千那種，為什麼這個社會還期待他們生育。",中国香港,1,4,13920474,226236123248
麦克雷湿,保密,2024-04-18 02:00:41 北京时间,52,还有地方增长！[吃瓜],上海,5,5,482336577,217379855968
一元生两仪,男,2024-04-18 10:34:34 北京时间,65,"你说了大方向，但是很多人并不理解大方向。,有没有可能：单纯的就是：不结婚更幸福，所以都不结婚了。生子女养的很痛苦，就不生子女了。,不幸福时，可以用游戏，用旅游，唱歌，跳舞等等麻痹自己。但是幸福就必须是真正的感情--爱。,幸福的具体条件还是各自的定义吧。",湖北,15,5,1924037,217441270352
压低点我在冒烟,男,2024-04-18 05:06:25 北京时间,101,"这很难吗？,我基本上展望了自己的一生,同时也展望了自己孩子的一生,我不满意现在的生活,同时我也不认为我的孩子能满意我给他的生活,那我干嘛要让我的孩子成为另外一个我？[疑惑]",山东,16,5,1714596428,217403443360
A又能怎样呢,保密,2024-04-18 04:44:01 北京时间,58,还是会有人生的，不用担心，担心自己有没有钱花就行了。二十几了女朋友长什么样都没见过，去年开始不在乎了,广西,10,5,1417140730,217400073040
a855,男,2024-04-18 16:33:26 北京时间,295,"简单来说，就是被资本主义忽悠成眼高手低，啥都要最好，啥都想要，,自己又没有那个本钱，消费主义一直在喊，,关键是，最没钱的人相信了自己就该享受最好的，,所以才导致了现在的情况，尤其是资本捧杀了女性，,让女性看不清自己，根本不会考虑和门当户对的人结婚,“人要向上走”，一局激励自己努力的话，变成努力贩卖自己，,也导致了离婚率和结婚成本的高昂，婚姻更是和房地产捆绑,关键是，这些全部是牺牲男性来达成的，,所以当男性发现，自己不结婚不生子，不买被捆绑的房车，反倒会轻松很多，,越努力越穷的怪相（跟不上婚姻的需求）出来之后，就不会再考虑结婚生子了,大家平常心就好，别被资本忽悠了，,我就打算在小城镇生活了，笑。",四川,175,6,175411,217494703728
账号已注销,保密,2024-04-18 06:14:16 北京时间,71,一个二个说不结婚，结果一看哥哥姐姐辈的全都结婚了[吃瓜],重庆,15,0,393539813,217411251344
萨尔纳加的绿泡泡,保密,2024-04-18 02:32:41 北京时间,57,我没任何感觉，穷人不生还有好多人找不到工作挤破头进我们公司....[吃瓜]（说的是事实，生气也不能怨我）,山东,17,6,38007481,217383031408
紙坊,保密,2024-06-17 20:22:56 北京时间,56,以前是生一个多一个劳动力，现在生一个是增加负担,湖北,0,5,362577981,226865721696
骄阳似火雷火丰,保密,2024-04-18 04:06:15 北京时间,44,你觉得为啥我爸妈只生我一个孩子,河南,7,6,396830896,217394489232
平和岛承太郎,男,2024-04-20 05:37:03 北京时间,50,所以我一直说我爸妈那一代人更幸福，教育水平要求不高，有我爷爷我爸直接去冰箱厂上班，虽然最后倒闭了，但是后续我爸都找了合适他的工作，治安协管在很多人看来非常不体面还累，但是实话说我把拉的下来脸去干，他觉得没啥，也熬到退休了；我妈虽然一辈子的工作都是超市员工，澡堂子前台，汽车售票这类的，可是人家也熬下来了。到我们这辈人，学历弄下来了，工作找不到，爹妈那辈人的工作不是不能干，是拉不下脸去干。我干了八年密室逃脱策划，线下活动、团建类的策划，疫情一来全散了，现在你让我干纯文员打字归档资料我还行，再让我去饭馆端盘子我真拉不下来脸。,北京,5,6,4149886,217702591696
北安精神病医院大弟子,男,2024-04-18 23:48:59 北京时间,41,我及家人没有收到过人口红利，其次养老金是我们自己一直在交，到岁数了难道不给我？所以和我有关？,辽宁,5,5,86473484,217514084672
小帅带你来追剧,男,2024-04-19 04:44:44 北京时间,50,主要原因是分配问题，孩子的生产价值被资本廉价获取。而家庭解构是资本为了削弱反抗力度，当人人变成个体控制起来就更容易了。不从生产关系讲解，反而说这些感觉什么都没说。[吃瓜][吃瓜][吃瓜],山东,0,6,231255248,217545891536
自己名字都不让起,保密,2024-04-19 12:50:00 北京时间,38,"孩子既是爱情的结晶又是生命的延续,但现在爱情少了,生命值得延续的也少了,好比没土没水就想种树,又怎么可能发芽啊.",广东,7,5,670718483,217608765568
种花的朗朗,保密,2024-04-18 04:28:29 北京时间,38,慢慢人就值钱了,北京,4,5,645999366,217397659984
killbabes,保密,2024-04-18 01:13:12 北京时间,52,但也并非只有底层拒绝生育啊，而且我感觉bilibili上大部分都是假底层，高层装个姿态为底层摇旗呐喊，也是件很风雅的事情[doge],四川,7,6,97170232,217375340896
一直落業,保密,2024-04-18 04:22:50 北京时间,40,[OK]花钱培养，不如存钱吃利息，让利息覆盖日常开支,广东,5,5,18205575,217396901088
虬龙科技--成都,保密,2024-04-19 04:31:40 北京时间,52,生娃？生了谁养？这么养？我老婆现在怀孕，还没生，产检就要小1w了，然后什么月子中心，月嫂，各种婴儿用品价格逆天。上学老师都要调查下家庭，社会风气就是攀比。养一个都难，还二胎三胎的。,四川,24,6,63249688,217544007376
阿哈利姆福佑,男,2024-06-16 09:00:47 北京时间,43,现在的生育率再低都暂时影响不到劳动生产，十多年后没年轻人了就该开放移民了，然后会有大量东南亚劳工涌入，到时候没有技术没有学历的纯体力劳动就更贬值了。你不生我不生但是这个星球上总有人在生，也没什么好担心或者好讽刺的。,湖南,0,6,84386186,226626306592
30老男孩,男,2024-04-19 16:34:43 北京时间,33,我一直想结婚，房子都买了，然后被绿了,四川,11,4,3546377994897939,217642716240
苃莉奈緒,男,2024-04-19 00:20:39 北京时间,33,绝育是结果而不是手段吧[嗑瓜子],湖北,1,6,4111074,217516220384
lowxiong,保密,2024-04-19 09:03:46 北京时间,84,孝是最残忍最丑陋的道德绑架！尤其是家里有一个躺床好几年只会张嘴吃饭头脑清晰心里只有让自己活着不惜牺牲子女一切的失能老人的家庭。,湖北,16,5,379268815,217575437456
开包薯片chips,保密,2024-06-15 01:18:07 北京时间,31,我看挺多的 一去逛街 好多小孩子呢 有的是二孩家庭呢 急啥呢 要往好了看[呲牙],北京,2,6,488323787,226389816672
我很YY,保密,2024-04-18 04:42:58 北京时间,40,人口红利和人的数量没有关系，和时代有关，20年前的人是社会需要的，现在的社会不需要人，消费除外,重庆,0,6,37213016,217399892992
画地为宙,保密,2024-04-18 03:15:37 北京时间,51,最近制造父母与子女对立的视频越来越多！,四川,27,5,406509324,217388033296
埃夏说,保密,2024-04-19 11:38:22 北京时间,33,因为别人一出生家里一亿套空置房，所以你劳苦一生挣不到一套[嗑瓜子],广东,4,6,90050094,217598116720
dongericph,保密,2024-06-18 01:45:48 北京时间,28,很多离婚家庭都是有了孩子后离的，因为有了孩子后矛盾更多，除非是夫妻双方都十分重视孩子完全题孩子着想，否则不要把生命浪费在吵架上，没有哪个孩子愿意生在天天吵架的家庭,湖北,0,4,1768287364,226882535728
天行zero,保密,2024-04-23 12:54:35 北京时间,28,"作为月薪2000的90后底层，这个话题我觉得自己能说上一句。,     出生率低，首先原因是结婚率低。结婚率低是出生率低的主要原因，根本原因，所以我不同意UP的观点。因为选择是否生育只适用于已经结婚的人，不生可能是思想问题，经济问题。但对于大多数成年人来说，包括已婚的人，繁殖都是生理问题。当精卵结合的时候，繁殖就已经刻在了每个人的基因里面，繁殖乃天性，男女皆有欲。只要能配对，大多数都会想生一个的，个别丁克思想不影响群体。至于为什么男女配对在当前时代这么难，UP可以单独开一期了。,     最后想说一下标题，“拒绝生育”的说法是不正确的。底层不是主动拒绝，而是被动不能。",四川,6,5,51811129,218208657840
