情绪标签,时间,性别,评论
负面,2024-04-19 07:55:53 北京时间,保密,"出生率低是各种因素综合的结果吧，最重要的就是口袋里没什么钱，生育成本太高，干脆就不生了,,其次就是结婚的人也没以前多了，自然生育小孩的人也少了。用前面一个热评里的话说就是  “越努力越穷的怪相（跟不上婚姻的需求）出来之后，就不会再考虑结婚生子了” ，20年前你没有什么正式工作，只要你扎扎实实找事做，要找个条件和自己差不多的女朋友也不会太难，但是现在应该会挺难的了……"
负面,2024-04-19 15:26:40 北京时间,保密,什么叫底层的绝招[笑哭]至少在我这IP，现实就是生不起，但凡能挣点钱有的是人生，但现实就是六个钱包都养不动下一代了。而我这边小老板、有钱人，家均三四个孩子。
中立,2024-04-18 04:25:31 北京时间,保密,一个就够两个压力大，过来人的忠告。
中立,2024-06-14 03:29:39 北京时间,保密,"我在香港這邊，公婆給我們一套房，每月象徵性給三千租金。我在家工作，全職工作是9小時（包午膳時間），但工作量不大，我實際每天只有工作4小時，其他時間都是處理家務事和接送女兒上學放學，月薪1萬6左右。我老公月薪2萬左右，我們兩個家庭收入在香港這邊算是比較基層一群人但未至於窮得活不下去，主要是因為解決了住的問題。香港除了能租用公屋的人，沒有人租金可以兩三千解決的。女兒一個月的補習班興趣班校車午膳飯錢平時帶去玩，買點玩具買點書就花我大約1萬至1萬5。全家人吃飯買食材一個月一萬，保險電話上網費兩三千，水電煤一二千，交通一千多，剩下幾千買一下日用品給點錢父母就沒剩了。覺得人生好累，想輕鬆一下的時候會去深圳，覺得深圳物價什麼都好便宜，一下子對比就出來了。,說了這麼久就想說內地的月薪二三千那種，為什麼這個社會還期待他們生育。"
负面,2024-04-18 02:00:41 北京时间,保密,还有地方增长！[吃瓜]
中立,2024-04-18 10:34:34 北京时间,男,"你说了大方向，但是很多人并不理解大方向。,有没有可能：单纯的就是：不结婚更幸福，所以都不结婚了。生子女养的很痛苦，就不生子女了。,不幸福时，可以用游戏，用旅游，唱歌，跳舞等等麻痹自己。但是幸福就必须是真正的感情--爱。,幸福的具体条件还是各自的定义吧。"
负面,2024-04-18 05:06:25 北京时间,男,"这很难吗？,我基本上展望了自己的一生,同时也展望了自己孩子的一生,我不满意现在的生活,同时我也不认为我的孩子能满意我给他的生活,那我干嘛要让我的孩子成为另外一个我？[疑惑]"
中立,2024-04-18 04:44:01 北京时间,保密,还是会有人生的，不用担心，担心自己有没有钱花就行了。二十几了女朋友长什么样都没见过，去年开始不在乎了
正面,2024-04-18 16:33:26 北京时间,男,"简单来说，就是被资本主义忽悠成眼高手低，啥都要最好，啥都想要，,自己又没有那个本钱，消费主义一直在喊，,关键是，最没钱的人相信了自己就该享受最好的，,所以才导致了现在的情况，尤其是资本捧杀了女性，,让女性看不清自己，根本不会考虑和门当户对的人结婚,“人要向上走”，一局激励自己努力的话，变成努力贩卖自己，,也导致了离婚率和结婚成本的高昂，婚姻更是和房地产捆绑,关键是，这些全部是牺牲男性来达成的，,所以当男性发现，自己不结婚不生子，不买被捆绑的房车，反倒会轻松很多，,越努力越穷的怪相（跟不上婚姻的需求）出来之后，就不会再考虑结婚生子了,大家平常心就好，别被资本忽悠了，,我就打算在小城镇生活了，笑。"
负面,2024-04-18 06:14:16 北京时间,保密,一个二个说不结婚，结果一看哥哥姐姐辈的全都结婚了[吃瓜]
负面,2024-04-18 02:32:41 北京时间,保密,我没任何感觉，穷人不生还有好多人找不到工作挤破头进我们公司....[吃瓜]（说的是事实，生气也不能怨我）
中立,2024-06-17 20:22:56 北京时间,保密,以前是生一个多一个劳动力，现在生一个是增加负担
正面,2024-04-18 04:06:15 北京时间,保密,你觉得为啥我爸妈只生我一个孩子
中立,2024-04-20 05:37:03 北京时间,男,所以我一直说我爸妈那一代人更幸福，教育水平要求不高，有我爷爷我爸直接去冰箱厂上班，虽然最后倒闭了，但是后续我爸都找了合适他的工作，治安协管在很多人看来非常不体面还累，但是实话说我把拉的下来脸去干，他觉得没啥，也熬到退休了；我妈虽然一辈子的工作都是超市员工，澡堂子前台，汽车售票这类的，可是人家也熬下来了。到我们这辈人，学历弄下来了，工作找不到，爹妈那辈人的工作不是不能干，是拉不下脸去干。我干了八年密室逃脱策划，线下活动、团建类的策划，疫情一来全散了，现在你让我干纯文员打字归档资料我还行，再让我去饭馆端盘子我真拉不下来脸。
中立,2024-04-18 23:48:59 北京时间,男,我及家人没有收到过人口红利，其次养老金是我们自己一直在交，到岁数了难道不给我？所以和我有关？
负面,2024-04-19 04:44:44 北京时间,男,主要原因是分配问题，孩子的生产价值被资本廉价获取。而家庭解构是资本为了削弱反抗力度，当人人变成个体控制起来就更容易了。不从生产关系讲解，反而说这些感觉什么都没说。[吃瓜][吃瓜][吃瓜]
中立,2024-04-19 12:50:00 北京时间,保密,"孩子既是爱情的结晶又是生命的延续,但现在爱情少了,生命值得延续的也少了,好比没土没水就想种树,又怎么可能发芽啊."
中立,2024-04-18 04:28:29 北京时间,保密,慢慢人就值钱了
负面,2024-04-18 01:13:12 北京时间,保密,但也并非只有底层拒绝生育啊，而且我感觉bilibili上大部分都是假底层，高层装个姿态为底层摇旗呐喊，也是件很风雅的事情[doge]
负面,2024-04-18 04:22:50 北京时间,保密,[OK]花钱培养，不如存钱吃利息，让利息覆盖日常开支
正面,2024-04-19 04:31:40 北京时间,保密,生娃？生了谁养？这么养？我老婆现在怀孕，还没生，产检就要小1w了，然后什么月子中心，月嫂，各种婴儿用品价格逆天。上学老师都要调查下家庭，社会风气就是攀比。养一个都难，还二胎三胎的。
正面,2024-06-16 09:00:47 北京时间,男,现在的生育率再低都暂时影响不到劳动生产，十多年后没年轻人了就该开放移民了，然后会有大量东南亚劳工涌入，到时候没有技术没有学历的纯体力劳动就更贬值了。你不生我不生但是这个星球上总有人在生，也没什么好担心或者好讽刺的。
正面,2024-04-19 16:34:43 北京时间,男,我一直想结婚，房子都买了，然后被绿了
负面,2024-04-19 00:20:39 北京时间,男,绝育是结果而不是手段吧[嗑瓜子]
正面,2024-04-19 09:03:46 北京时间,保密,孝是最残忍最丑陋的道德绑架！尤其是家里有一个躺床好几年只会张嘴吃饭头脑清晰心里只有让自己活着不惜牺牲子女一切的失能老人的家庭。
负面,2024-06-15 01:18:07 北京时间,保密,我看挺多的 一去逛街 好多小孩子呢 有的是二孩家庭呢 急啥呢 要往好了看[呲牙]
负面,2024-04-18 04:42:58 北京时间,保密,人口红利和人的数量没有关系，和时代有关，20年前的人是社会需要的，现在的社会不需要人，消费除外
中立,2024-04-18 03:15:37 北京时间,保密,最近制造父母与子女对立的视频越来越多！
负面,2024-04-19 11:38:22 北京时间,保密,因为别人一出生家里一亿套空置房，所以你劳苦一生挣不到一套[嗑瓜子]
中立,2024-06-18 01:45:48 北京时间,保密,很多离婚家庭都是有了孩子后离的，因为有了孩子后矛盾更多，除非是夫妻双方都十分重视孩子完全题孩子着想，否则不要把生命浪费在吵架上，没有哪个孩子愿意生在天天吵架的家庭
正面,2024-04-23 12:54:35 北京时间,保密,"作为月薪2000的90后底层，这个话题我觉得自己能说上一句。,     出生率低，首先原因是结婚率低。结婚率低是出生率低的主要原因，根本原因，所以我不同意UP的观点。因为选择是否生育只适用于已经结婚的人，不生可能是思想问题，经济问题。但对于大多数成年人来说，包括已婚的人，繁殖都是生理问题。当精卵结合的时候，繁殖就已经刻在了每个人的基因里面，繁殖乃天性，男女皆有欲。只要能配对，大多数都会想生一个的，个别丁克思想不影响群体。至于为什么男女配对在当前时代这么难，UP可以单独开一期了。,     最后想说一下标题，“拒绝生育”的说法是不正确的。底层不是主动拒绝，而是被动不能。"
中立,2024-04-19 23:01:13 北京时间,保密,网上现在看见很多嫌弃爸妈给1500-2000一个月活不下去的帖子，问就是要买化妆品要买衣服要抽烟要找女朋友，评论就是一堆确实不够花穷就别生了。看多了就确实我穷我不生了，不然十几年后还要被自己的亲儿女挂在网上给人骂
负面,2024-04-20 04:38:25 北京时间,保密,大学毕业之后工作两年了，一个月到手能不能有三千还得看领导心情，去年年底遇初中同学，他在职高玩了两年就去了部队后勤，一个月能拿八九千，，，我就问我爸说，“你说我要是初中毕业就进厂打工，多下点力气，现在也能开个五千块钱了吧？”回头想想这将近十年，满眼尽是惆怅
负面,2024-04-18 01:39:46 北京时间,女,花个几十上百万从幼儿园到研究生毕业出来肯定能年入百万吧[呲牙][呲牙]
负面,2024-04-18 05:46:52 北京时间,保密,很多传统观念都行不通了，别说什么传宗接代了，古代多少人追求长生，现在呢[doge]
中立,2024-05-24 18:40:40 北京时间,保密,从小就有一种预感，我大概此生不会结婚。
中立,2024-04-18 04:59:09 北京时间,保密,收入只够自己一个人生活，生出来怎么养？
负面,2024-04-18 01:12:17 北京时间,保密,人口生产的主力军一直都是农村，几年前这里城市就已经压倒农村了
负面,2024-06-16 06:01:32 北京时间,保密,其实就是普通人工资太低，生活压力太大。要知道韩国虽然生育率倒数第一，人家的人均gdp和平均工资还是比我们高的……人家的困境主要在于财阀垄断，普通人不考入名校就没有好工作这种折磨，而且人口体量小，就业岗位供给还是够的，他们人工费也挺高，日韩做零工都不至于饿死。但是在中国人口远大于就业市场需求，多少名校毕业专业没选好的都找不到好工作
负面,2024-06-12 09:19:26 北京时间,男,相信后人智慧，啥?没后人咋办，你这个小同志，后人就像海绵，挤挤总是有的嘛[大笑]
负面,2024-04-18 03:47:28 北京时间,男,你不生有的是人生，自信点14亿人不缺我一个废物的[doge]
中立,2024-04-20 03:44:42 北京时间,男,不说房。车。rm13贬值成这样。生活。柴米油盐。央行多印了五倍多真的没点问题？一个人都养不起一个人的时候哪来的能力生孩子结婚。5000块的价值还不如3000。工资没涨。水电煤气物业生活成本都已经起飞了。
中立,2024-04-21 08:12:56 北京时间,保密,新的思维模式的出现，会导致持旧观念的人的原先认知被颠覆一时间接受不了。就像很多新事物刚开始出现会遭到抵制，但是被取代已是必然，反反复复的争辩、不忿只是在为情绪找个宣泄口罢了。评论区分析的都有道理，年轻人不会像老一辈可以生五六个孩子，这已经是不争的事实。
负面,2024-04-18 03:53:46 北京时间,保密,人心齐～泰山移！[doge]
正面,2024-05-21 15:53:47 北京时间,男,"未来中国的出生率可能会是全球最低,1,目前的房地产政策实际就是把大部分人赶到高楼里,而高楼的出生率天然就会比低密度住宅低.,2,中国的年轻人口性别比失衡是全球最严重的.,这两个条件是独属于中国的不利条件,其他国家在高速发展期随着经济发展出生率是缓降,中国是坐火箭."
负面,2024-04-21 03:51:36 北京时间,保密,愿意生不开放，不愿意了又支持 孩子你真无敌了😂
中立,2024-04-22 18:03:26 北京时间,保密,明明说的就是几千年来被研究透的东西，为什么这么多弹幕好像这辈子没听说过一样？上学学的东西都装到肚子里了吗？古代和现代的差距本来就很大，那现在的价值观去评价过去的价值观多么不可能的儿豁，历史学的都是刷题是把。
中立,2024-05-27 15:58:10 北京时间,男,根据90年代育龄妇女人数变化，在生育率保持不变的条件下，未来五年湖北每年出生人口将下降3.68%，湖南每年出生人口将下降3.24%，河南每年出生人口将下降3.24%，陕西每年出生人口将下降3.19%，广西每年出生人口将下降2.35%，海南每年出生人口将下降2.3%，甘肃每年出生人口将下降2.1%，除此以外广东四川重庆贵州云南的出生人口也会出现一定程度的下降。
正面,2024-06-11 09:44:28 北京时间,男,我妈给我的解释是怕以后他们走了我没亲人
负面,2024-05-31 20:44:58 北京时间,保密,这个时代就不适合生孩子（有钱人不算），我目前靠自己真的短时间买不上房子。太难，一个月就算一万元，不吃不喝一年12万元，我们老家40万一套平均，要想全款买房子，还要不失业，人民币不贬值的前提。以我自己的状态，起码要7-8年。房子都没有还结婚，我还不如自己好好活着算了，一辈子开开心心挺好。[辣眼睛]
负面,2024-04-18 11:53:44 北京时间,保密,不是现在生的少，是以前生的多了，我父母那一辈很多都是兄弟姐妹6.7个，多的上十个，我妈跟她大姐相差20岁
负面,2024-06-13 05:14:25 北京时间,保密,计划生育是我国的基本国策，这是初中政治就教的
负面,2024-06-08 11:43:00 北京时间,女,做了二十年女儿了，养孩能不能养老我不知道吗[歪嘴][响指]
负面,2024-04-18 05:45:08 北京时间,保密,我家制衣厂工资都降了一千多那群普工还不是老老实实给我家干活一点都不敢闹[吃瓜]
负面,2024-04-18 02:49:27 北京时间,保密,穷人生孩子给富人打工吗？
负面,2024-04-18 06:03:23 北京时间,男,我感觉不生孩子的都在评论区了，反正我的现实生活就是周围都结婚生子。有些朋友怀不上还特别着急到处求医问药，因为工作太忙直接辞职生娃。
