情绪标签,时间,性别,评论
负面,2024-12-08 06:30:06 北京时间,男,出生人口7年砍半，也追不上经济崩盘的下降速度[笑哭]没准再过几年出生人口掉到500W以下，生一个死仨的时候，就业压力就小了呢。别焦虑，儿孙自有儿孙福，生了儿孙自己苦，天塌不下来。真到那一天，劳动密集型要么跑路要么暴死，高新产业养活一小撮人赚钱，然后人力成本比物料成本还要贵，底层蓝领工作不开大价钱根本没人干的时代也就快到了。
负面,2024-12-08 12:27:33 北京时间,保密,宁德时代利润这么高，工人待遇肯定也很好吧
负面,2024-12-08 03:24:19 北京时间,保密,"不急。,急的话会上法律"
中立,2024-12-08 01:45:13 北京时间,保密,你是在讨论生育问题么，感觉更像是高举精英论的理念。人口问题不是经济问题而是民族存亡问题。。。。。
正面,2024-12-08 06:54:42 北京时间,保密,现在的问题可以交给下一批来解决，下一批可能也这么想，一批一批这么交下去
正面,2024-12-16 12:55:10 北京时间,保密,着急，着急有用吗？你得了癌症，着急能有什么用？都是等死，急不急最后结局不会有任何区别，就像癌症一样，就算能缓一缓也就是多几个月，不改变问题本质。
负面,2024-12-09 03:45:13 北京时间,保密,国家就是不着急…好好想一想，为什么车都快能自动驾驶了，还有人在电子厂拧螺丝，拧螺丝能比自动驾驶难么…90后不生孩子，对国家影响不大，只对90后的养老金影响很大…没人交就少发晚发呗。日本人说无敌之人，都是没有希望的青中年，没有希望的老年人，在日本，主动想进监狱的大有人在…
中立,2024-12-09 09:28:58 北京时间,保密,狼担心有没有羊肉吃跟羊群数量有什么关系？
负面,2024-12-08 08:33:24 北京时间,保密,有没有可能其实除了汉族其他少数民族都不这样。有没有可能国家一直对汉族执行消户政策
中立,2024-12-11 09:45:45 北京时间,保密,要吐槽的地方太多了，up主的主要观点总结就是，咱经济总量不变，人少了，每个人分的就多了。但想没想过人少了总量也会少，13亿到4.5亿人是什么概念，算过数学题，要低的生育率，配合现在人口正常淘汰率，需要多久能实现，在这期间的人口结构是什么样子的，劳动力人口还有多少，养老负担有多重。观点完全经不起推敲
负面,2024-12-09 03:29:29 北京时间,男,"目前来说谁市场最大谁就是世界大哥。,很明显，美国继续当大哥。,14亿都比人家购买力低，4.5亿会比人家购买力高？,市场只会更小好吧？[滑稽]"
负面,2024-12-11 12:41:18 北京时间,保密,答案很简单……这话怎么说得出来。
中立,2024-12-08 03:20:33 北京时间,男,总人口数不怕下滑，怕的是人口结构出现问题。新出生人口这个数据全球数一数二的低，这个数据比任何都可怕
中立,2024-12-09 01:59:09 北京时间,保密,没事 我们都不是人  都是负担  没了就都好起来了
正面,2024-12-30 08:28:36 北京时间,保密,90后加油能不能再腰斩一次。我想看个大的
中立,2024-12-30 03:48:07 北京时间,保密,不是不生，是缓生、慢生、有次序有调节的生，从高数量生孩子到高质量生孩子，努力实现先生带动后生，实现共同生孩子。不是不生，是缓生、慢生、有次序、有调节的生，从高数量生孩子到高质量生孩子，努力实现先生带动后生，从而实现共同生孩子！
正面,2024-12-08 05:24:10 北京时间,保密,人口去掉一个零头 对各行各业都会好些。
中立,2024-12-18 16:29:59 北京时间,保密,"羊不繁殖，狼最急,羊少了，狼就只能吃狼,认清自己是狼是羊最重要,是羊，要么就做件善事，别再繁殖，别再把苦难延续给下一代，,要么就苦一点，努力赚钱把后代送去欧美打工，欧美再地狱，加班都会给加班工资。别让后代留在这里再给狼繁殖后代,别做蠢货去繁殖了，人叫生育"
负面,2024-12-11 09:52:37 北京时间,保密,先考虑会不会陷入中等收入陷阱吧
负面,2024-12-08 01:09:41 北京时间,男,它们急什么，又碍不着它们[吃瓜]
负面,2024-12-18 00:56:35 北京时间,保密,确实是人还很多。
中立,2024-12-08 04:04:08 北京时间,保密,以前很多问题都说是因为中国人口太多，十四亿的国家干嘛担心人口问题四亿都也还是人口大国啊，结构问题以前是问题，以后会越来越不是问题
中立,2024-12-08 01:25:25 北京时间,保密,人口不能光看总量，还要看结构。在老龄化人口被时间冲淡之前都会非常艰难
正面,2024-12-08 02:59:35 北京时间,保密,背后还是被发达国家的模板套进去了，中国有自己的特殊性，如果参考发达国家现在的发展方向，伟大复兴也就只有那么一代人的高光，转型成功也不是要变成现在所谓发达国家的复制体
负面,2024-12-08 06:44:23 北京时间,保密,你个零件想多了吧。有没有都无所谓
负面,2024-12-08 12:09:52 北京时间,保密,感觉这期视频质量不高。倒果为因。
正面,2024-12-13 18:20:49 北京时间,保密,有没有可能他的目的就是要削减人口。
负面,2024-12-08 01:58:14 北京时间,保密,我觉得国家干预提升人口出生率全世界好像都没有什么成功案例吧[思考]？
正面,2024-12-15 05:02:39 北京时间,保密,最简单的一个问题 普通人能避免孩子遭受霸凌吗 能给孩子一个快乐健康的童年和少年时光吗 答案是根本不可能
负面,2024-12-08 04:59:51 北京时间,保密,着不着急不是这么看的，他们想的只是“留给后人解决”，只要雷不在自己这时候爆就行了，其余的无所谓，然而这样只会制造更大的雷
正面,2024-12-08 05:00:54 北京时间,保密,总结：一将功成万骨枯，掉头是不可能的了，照顾到所有人也是不可能的。如果不想做时代的尘埃，只能自己想办法
负面,2024-12-08 09:14:13 北京时间,保密,宏观上现阶段还是希望人口缓慢下降，远远没到急的时候，急的是个人，毕竟计划过后很多人都成了家里唯一后代，不生就绝后了[吃瓜]我觉得等到90后批次告别世界上面才会真正发力激人口。还有我听过一个观点历朝历代的底层就是大多绝后的，新的穷人是上层的溢出，大户娶五个生十个，不可能十个孩子都成大户，主枝发展传承，旁枝慢慢败落变成下一批底层
正面,2024-12-24 12:32:25 北京时间,保密,不着急，孩子都在国外了着什么急
正面,2024-12-20 10:41:22 北京时间,女,没钱，救不了，而且这么庞大的人口，怎么救
负面,2024-12-09 14:36:42 北京时间,保密,罚款是一步到位 补贴是支支吾吾啊[微笑]
正面,2024-12-09 00:23:11 北京时间,男,一个最基本的事实就是大把的人失业，失业人口太多加剧了全社会的内卷，内卷又反过来加剧失业率增加，说明还是人口太多了，说中国面临人口危机的人不是坏就是蠢。
负面,2024-12-08 14:27:07 北京时间,保密,[辣眼睛] UP你的思想有毒。需要好好检讨。14亿减成4亿，这样的思想产生的一瞬间，就没考虑过第一个淘汰的就是你全家族群。
正面,2024-12-08 03:40:57 北京时间,保密,不急，目标2100年人口6亿，都算好了。
中立,2024-12-09 05:13:15 北京时间,保密,都在偷换概念只谈人口数量。。最重要的是人口结构。咋们现在人口数量完全超了。现在人口结构问题才是最严重的。
负面,2024-12-19 10:48:47 北京时间,男,"朋友们，网上说，人口老龄化，看起来轻飘飘，好像没多大影响，但实际呢？,  80 90 00，也是现在的青壮年阶段。我单拿出90后，下面是出生人口。, 1990年：2374万 1991年：2250万 1992年：2113万 1993年：2120万 1994年：2098万 1995年：2052万 1996年：2057万  1997年：2028万 1998年：1934万 1999年：1827万，共计18743万人。两亿人。,  那么90这一批养的就是六十年代的人，出生人口23908.9万人。,  这里经过了朝鲜，越南，印度等战争，同时再加上医疗条件不够等等大规模非自然死亡。,  影响是什么？三个高价，一个不结婚。,  换句话，两亿个青壮年，快要养不起一亿多老人。这个阶段听懂了吧。,  那好，去年出生多少人？890万。今年呢？630万。对，三位数，而且越来越低。,  二十年，只需要二十年，甚至更短，就靠这每年三位数的青壮年，养咱们这每年两千多万的老人。,  人在无语的时候会笑出来[大笑],  现在是二养一，什么滋味大家都有目共睹，二十年后也就是2045年左右，是一养三。[大笑][大笑][大笑],  就一句话，再不开三战，打出过冬物资，等着人相食就可以了。, 不急？怎么可能不急？2035年之前，三战必须结束。对，不是开不开，是必须结束。"
正面,2024-12-08 15:57:40 北京时间,男,鸡是不能靠绝食来报复肯德基的
中立,2024-12-14 18:30:44 北京时间,男,知道为什么生育率下降吗。因为经济不景气。举个例子，假如你一个月6000你对象一个月也6000后续杂七杂八的，你们刚好可以生下一个孩子。但现在一个月工资普遍在三四千扣去杂七杂八顶多有点儿存款，根本供不起一个孩子
中立,2024-12-09 09:00:56 北京时间,女,我舅都48岁了，没结婚没谈过对象没生娃，一个人过得很悠哉，我也不打算找男朋友了(我是女孩子啦)学我舅那样生活，干嘛让自己受委屈呢，自己过的好就行了，他人的生活规律咱们管不着也干预不了[tv_点赞]，而且我跟我父母还聊过，我父母尊重我的意愿
正面,2024-12-08 03:30:29 北京时间,保密,我一直觉得，中国人口少一半，年轻人就不会那么卷了
负面,2024-12-08 01:57:13 北京时间,男,早就觉得不是很急，人实在是太多了
正面,2024-12-08 08:18:19 北京时间,保密,叶利钦当时也不太急啊
中立,2024-12-21 15:51:42 北京时间,男,狗屁不通，工人创造的财富≠工资，并不是中国工人创造的财富低，只是工资低。中国工业产值占世界几乎40%，你知道这是什么概念吗？中国人口占世界的17.5%，创造了40%的财富，但工人待遇却比不上欧洲国家。。。抱歉，我实在不想用发达这个词来形容欧洲，因为欧洲并不发达。。。。
负面,2024-12-08 11:56:37 北京时间,保密,这水平怎么下降那么多
正面,2024-12-09 01:20:46 北京时间,男,不急，中国已经承载不了更大的人口规模了，顺势而为反而可以喘一口气
负面,2024-12-09 03:51:23 北京时间,男,有没有一种可能，现在就是想吧人口数量降下来
负面,2024-12-09 05:50:15 北京时间,男,因为还有部分人在生孩子
负面,2024-12-08 04:09:11 北京时间,保密,你这么讲，跟断章取义差不多，那几个国家补贴的金额，折算成本地购买力，也没几个钱。你在美国，收入6000美元，和在我们这6000人民币的购买力没多大区别，你不要把6000美元说成42000人民币，你并不能上班在美国，吃饭购物在中国。
负面,2024-12-08 16:25:41 北京时间,保密,人口结构重要性大于人口数量
负面,2024-12-09 15:14:52 北京时间,保密,我们都被踢出全球贸易了，内需不增长，东西卖给谁去？没有孩子就没有未来
负面,2024-12-08 09:08:06 北京时间,保密,人口下降没什么，严重的是人口老龄化
正面,2024-12-08 14:20:27 北京时间,保密,人们不愿意生孩子、不愿意结婚，是因为别有用心的群体对“爱情”的宣传。无论古今中外，结婚生子都只是个人生任务，人到了年龄就顺理成章要做的事情，根本没什么爱情。这也是人类繁衍至今甚至有些国家成为人口大国的主要原因。你仔细看看就会发现，那些出身好、家庭背景有钱有势的人，很少有自由恋爱的，基本上都是家人根据自身背景帮着物色的，只有那些底层人身深信所谓爱情，一直在等真命天子、天女，眼高手低，结果一拖就奔三奔四，最后索性就认命单身无子了。
负面,2024-12-08 01:04:10 北京时间,保密,是不想吗？是没钱啊，这个事需要的钱可太多了[doge]
负面,2024-12-09 05:04:53 北京时间,保密,"李鸿章有个名言叫“百万漕工衣食所系”，类似的科幻小说我也看过不少，比如北京折叠，明明一层早就能有自动垃圾处理不推行就是为了给三层的几千万人留点工作做。,王晋康还是刘慈欣有个短篇是讲未来只有通过测试的高智商人群才有权工作，普通人就只能政府养着，然后来个自选样子自选身材的人造机器人白天么么哒，晚上啪啪啪。但就这现在很多人梦寐以求的宅男生活，主角还是很羡慕他弟弟可以工作，还有女邻居邀请他放弃政府补贴申请自负盈亏的农场一起劳动一起生活。,说实话未来肯定是AI和自动化替代大量工作的时代，以前劳动密集型产业需要人口红利，但到了知识密集型产业，工作机会减少，消化不掉的人口就会成为社会不稳定因素，所以到时候人口减少说不定反而是好事，只能说具体怎么样还得等十几年二十年后人口减少的这一批人长大开始工作再说。"
负面,2024-12-10 12:40:05 北京时间,保密,如果不是为了博取流量整这么一波，就单纯内容上，说的真的是无法用语言来形容的垃圾。
负面,2024-12-09 06:29:01 北京时间,保密,人多人少其实没有那么大影响，如果有一天人口不够，没有劳动力，那就会开放移民，三哥们就会疯狂涌入[doge]
负面,2024-12-08 01:16:15 北京时间,男,算来算去的，直接拿美国绿卡就是发达国家的人了，不用替我们是不是发达国家的人操心了
正面,2024-12-08 02:18:36 北京时间,女,青年劳动力根本不缺，以后还会越来越多，，，，老龄化才是最紧要的问题
正面,2024-12-08 15:25:29 北京时间,保密,就中国这个人口基数 年年打二战都没问题
中立,2024-12-08 08:29:24 北京时间,男,能舒服一刻算一刻，后果吗？相信后人智慧
正面,2024-12-09 08:54:17 北京时间,保密,人口降低11亿，仍然是仅次于印度的世界第二人口大国。
中立,2024-12-08 23:33:20 北京时间,保密,国家为什么要着急？美国才3-4亿人，中国有14-15亿人。
正面,2024-12-08 04:33:41 北京时间,保密,他们并不着急，世界上又不是只有一个国家
中立,2024-12-08 23:12:56 北京时间,保密,逻辑完全错了，这根本不是以咱为本
中立,2024-12-08 01:49:23 北京时间,男,说得直白点就是远水解不了近渴，资源有限的情况下，当下的矛盾需要优先解决，否则远期的问题更难以面对。鼓励生育是一个系统性问题，肯定不是单纯靠发钱解决。就比如说高素质高学历群体并不会因为每月多发点钱去生育，但对于不想负养育责任只想拿低保的人来说却很有吸引力，这种刺激显然也不符合高质量发展的长期战略。鼓励生育需要的是更精准的政策。
负面,2024-12-08 05:20:20 北京时间,保密,基数大，一时半会还用不完，当然不着急了
正面,2024-12-08 02:54:37 北京时间,男,我觉得没有那么复杂，等人口问题真的产生影响时现在这波人早就退休养老了，所以不着急
负面,2024-12-09 12:06:17 北京时间,保密,独生子女说结束就结束了，那以后我们的社保会不会也这样[大哭][大哭][大哭][大哭]
负面,2024-12-08 02:48:01 北京时间,保密,你这个结论太离谱了，如果上面是基于这个原因的话我觉得要完！人口最大的问题不是数量是质量，因为几十年来畸形的急转弯发展模式导致中国的人口质量相当的恶劣，用远超世界任何国家的速度达成了老年化模式！并且是巨量老年化！老龄化代表着什么up主不懂？
中立,2024-12-09 02:44:47 北京时间,男,那么多老毕登呢着啥急，还会有越来越多的老毕登，急啥急。
负面,2024-12-09 01:57:05 北京时间,保密,一将功成万骨枯，希望up也成为万骨中的一个
负面,2024-12-08 11:16:45 北京时间,保密,降的后果也要二十年后，人早退休了[抠鼻]
负面,2024-12-08 06:12:33 北京时间,保密,在催生之前，咱们先提高某些所谓危重孕产妇救治中心医院的医疗水平吧！！！   我只是去北医三院生孩子，却无意中做了一项科研，我做的这个科研，没有任何课题或项目，纯粹是出于我自己的好奇心，就是我很疑惑，为什么我在北医三院这么高等级的医院，会出现如此严重的后遗症！！！（差点直接尿毒症，现在慢性肾衰竭四期）   这个科研成果全是我自己查论文、指南、教材、医学会议等做出来的，欢迎各位去我的主页看看，患者一人指出北医三院全院多学科塌方式误诊血栓性微血管病，我的科研成果得到了北大第一医院、北京协和医院和北大国际医院的确认，诊断证明见我的主页！也得到了北医三院和北大第一医院，北京协和医院，北大人民医院等医学会议的确认，诊断证明见我的主页
中立,2024-12-08 03:08:05 北京时间,保密,跟普通老百姓没啥关系，你真想生或者丁克也不是一两个政策就能左右的，顾好自己就行了
正面,2024-12-09 06:14:18 北京时间,男,相信后人的智慧（我死后哪管洪水滔天）
中立,2024-12-08 03:25:49 北京时间,保密,我国如今需要的就是减少人口，最终维持动态9亿人平衡，到时候各种福利自然会有，只是现在主要要淘汰一批人口，纵观古今大部分人都留不下后代，现在的人都是祖上阔绰的。
中立,2024-12-09 02:40:23 北京时间,保密,奉劝大家，如果父母不催。就别结婚生子买房。
负面,2024-12-10 00:38:15 北京时间,男,我和我老婆晚婚晚育，生孩子都35了，四个老人也是快70了。之前就是因为觉得生活工作都还可以生了孩子。现在直接返贫，，，，同志们谨慎啊
负面,2024-12-09 03:28:32 北京时间,保密,视频还没看
负面,2024-12-08 23:52:17 北京时间,保密,工资5500 房租1000 公司包两顿饭 有时候自己买菜做 没女朋友没车 不喝酒不抽烟平时不爱出去玩 这样我只能说钱刚刚够用
正面,2024-12-08 16:14:22 北京时间,保密,天才，一个全是老头老太的国家只谈人口数量？不谈人口结构？欧美发达国家全靠高新技术产业剥削其他人？那新西兰，澳大利亚，希腊靠什么剥削其他发展中国家？
负面,2024-12-08 06:50:53 北京时间,保密,一万年后人类肯定灭绝了，不信到时回来杠我[吃瓜]
负面,2024-12-08 13:12:58 北京时间,男,就这还“深度”解析呢？就算是带广子好歹也稍微表现出点水平吧？起一个哗众取宠的标题，然后拿初中政治教科书上老掉牙的内容糊弄谁呢？
负面,2024-12-10 03:33:46 北京时间,男,会有人替你们生的[吃瓜]最穷和最富的
中立,2024-12-08 01:28:37 北京时间,保密,不经历血与火的洗礼怎么换来霸主的更替？不主动出击削弱对手难道是静等对手复苏吗？不在平常给百姓养精蓄锐的时间，难道让老百姓在动乱时才破家救国吗？
正面,2024-12-10 09:44:06 北京时间,男,能得出这种结论也只能说你3年口罩白带了
负面,2024-12-09 08:19:31 北京时间,保密,本来就是计划生育的，现在人口太夸张了
负面,2024-12-08 07:44:29 北京时间,保密,后半段是梦游时候写的吗，放完广子就开始乱跑[洛天依·收藏集表情包_吃瓜]
正面,2024-12-08 02:03:47 北京时间,保密,工业时代初期，一个矿工一天开采5筐煤；工业时代中期，一个开矿工人驾驶采矿机器，一天可以开采30筐煤；工业时代晚期，一个矿业技术人员采用全流程无人智能采矿工程系统，一天可以开采300筐煤；同样的一人，产能翻了60倍，而岗位却没有增加60倍，人们认为重要的人口问题，现在看起来真的没有那么重要
正面,2024-12-08 06:51:41 北京时间,保密,我能不能说如果人口将近4亿的话，那应该百分之90是年龄70.岁的老人，请问如何搞出现在4倍gdp
中立,2024-12-08 06:33:08 北京时间,保密,它不急我们急什么？跟它耍耍
中立,2024-12-08 23:46:41 北京时间,保密,爱埃及巴着急不着急
中立,2024-12-09 01:57:06 北京时间,男,确实不着急，这件事的优先度还没有解决养老金发放问题的一半高
中立,2024-12-08 11:09:35 北京时间,保密,地主更在意耕地的牛，那些耕不动地的，宰了吃更划算
正面,2024-12-09 03:17:27 北京时间,保密,小区里面的小孩子还是很多，不用担心
正面,2024-12-08 07:55:54 北京时间,男,只能说一切都在国家预料之中，国家那么大，想要完成一些目标不可能同时满足所有人的利益，人少点是好的，而且不动声色的降生育率可以说是最平缓的方式了
中立,2024-12-11 00:03:37 北京时间,保密,这个认识的不够深入，无法解释社会现象
负面,2024-12-09 04:24:51 北京时间,男,人类的繁衍并不会少了你我他而灭绝，最多少了一点多样性罢了。[doge]
中立,2024-12-08 05:36:35 北京时间,男,然而话说得再好听，也改变不了，人口不是一个冷冰冰的数字，而是一条条活生生地命的事实
正面,2024-12-08 07:51:52 北京时间,保密,很急，人少了就抽不出ssr卷王了
中立,2024-12-09 07:47:53 北京时间,男,我小孩出生到现在两岁半了，没领到过1分钱一张尿布，你说他们急不急？对比，你现在去买新能源车，点击就送2W现金补贴
